id,sentence1,sentence2,dm1,dm2
7,"For ideologically grounded conservatives and libertarians, it was infuriating; the undecided swing vote could be swayed and Democrats prospered.",things had begun to change.,"already,","however,"
1303,would you go back and buy another ticket?,it would hurt a lot more.,"maybe,",but
613,"In fact, he probably could have used a righty to face Cruz the batter before, but after that walk, it was certainly time for a new arm.","valentine remained in the dugout, leaving morales in the game to pitch to craig gentry.","amazingly,","though,"
1840,Would it be better for him to drink half a Snapple?,i'm not sure how that's your business.,"maybe,",but
2868,Our parish priest always does this at the OF.,we have a visiting priest who is very careless about particles that remain on his fingers.,"occasionally,","though,"
2598,Do I think there are other reasons why scraping websites are objectionable?,those reasons have nothing to do with copyright and they are probably the subject of another different blog post.,"certainly,",but
2053,"D's opponents defeated the measure by around 45,000 votes.","of all tuesday's races, the no on prop.","curiously,","however,"
2787,usually i just pick up a huge honking package at costco and call it a day.,"i want to go a little upscale - and when that happens, i am usually aghast at the cost.","sometimes,","though,"
6016,", it's not too hard to figure out why the Doves haven't yet secured a television broadcast affiliate for the show.",i'm just all wet.,"probably,","though,"
6225,Am I putting the cart before the horse?,"i don't think so; ron is backing up his words with action- that shows integrity, and outlander deserves no less.","maybe,",but
3122,The one thing I really didn't like about Christmas was when it fell on a Sunday and we had to go to church instead of relaxing at home.,"when that happened, my mom pressured my dad into ""doing christmas"" on christmas eve so that we wouldn't miss any of the fun.","usually,","though,"
5196,"Then again, as slow and defenseless as we were, we really didn't want to know exactly when a missile might hit us.","the hawkeye directed two f-14s, fast eagle 102 and 107, flying combat patrol off the nimitz, to ""turn and burn, expedite intercept.""","thankfully,",at the same time
2317,"It's called rhythm dudes, make it work for you, not against you!","this is going to sound mean, but a lot of thrash lyrics are dumb.","secondly,",and
2130,"displaylink's usb graphics technology has made adding multiple screens to notebooks straightforward, but there's always a limit on performance thanks to the throughput potential of usb 2.0.","the latest breed of usb display adapters, such as sunix's imminent vga2788, turn to usb 3.0 to allow for full hd 1080p support.","unsurprisingly,","then,"
5602,"In the 1960s, the U.S. government declared its war on racism in America.",the government failed to take any steps to end economic regulations by state and local governments.,"unfortunately,","however,"
3434,I had been sinning like this for years because my roommate had seen it clearly many years earlier.,another thought dawned on me.,"gradually,","however,"
3277,Are they still a solid club?,"it's not an oklahoma city situation with the likes of jordan eberle, taylor hall and ryan nugent-hopkins suiting for the farm club.","absolutely,",but
274,Can they stop the rot?,"it will take a solid move to the rational center, just as the democrats are moving increasingly left.","certainly,",but
2498,"Opposition to net-cage salmon aquaculture in BC continues to escalate, particularly with new revelations of more positive findings for ISAv (Infectious Salmon Anemia virus).",we've been alerted to some misunderstandings that are circulating with regard to our work to eradicate net-cages on the bc coast.,"lately,","however,"
1696,"I don't have a problem with those, and your description is apt.",it seems like you decided this show was good before laying eyes on it.,"altogether,","though,"
3024,I was very clear-headed throughout yesterday's second half.,"i ended up staying up too late when i was tired, and my fatigue meant my guard was down.","unfortunately,",afterward
4857,Could we have been more aggressive on offense?,its equally likely that we would have had another turnover as it is that we might have scored on two more drives and won the game.,"probably,",and
3709,"calling someone a""' believer""' often connotes belief in a god, especially the christian god (in the u.s., anyway).","the belief is related to other supernatural or unsupported claims, such as esp or alien abduction.","sometimes,","though,"
2657,The point is that tax-and-spend policies aren't any less devastating when practiced by Republicans.,the economy is all but dead as an issue for democrats.,"nationally,","though,"
6010,"By having Watho take these prescriptions to an extreme, MacDonald demonstrates the injuries that can be inflicted through improper maternal influence.","both children ultimately maintain their spiritual autonomy and achieve wholeness, despite watho's cruel and temporarily debilitating interference.","significantly,","however,"
1582,"A doomsday scenario, you say, that would never happen in your pharmacy?","the truth is, it does happen, and it is more than likely that the pharmacist, not the technician, will pay the consequences of any error.","maybe,",but
2643,"And having had jobs whose primary tasks involve research and notes (like ""journalist"" and ""investigator""), I've always been pretty old-school in terms of organization.","i've been wondering the best way to ""go digital"" - so i am really happy i found this page!!","lately,","however,"
2661,"Do I think that Gagner, Omark and a 2nd round pick would be enough?",i don't think that is the right move at this time.,"maybe,",but
1820,"Defects included spina bifida, tail flexion defects and exencephaly (Figure 3B-3D), while other embryos appeared normal (Figure 3A).",varying the lmnb1 genotype produced a striking difference in frequency of ntds (figure 3e).,"importantly,","however,"
3121,"Currently, we are not able to get to that level of data, at least not in humans.","we can move in the opposite direction and the unit of analysis should be larger-the entire image, for example.","perhaps,","then,"
316,"Julie is hard-working, and with her brother gone and her father sick, she has to take on much of the work normally done by males on their farm.","a young man named hank comes to the area and ""courts"" julie in a whirlwind romance.","soon,","though,"
2279,"But, in opposition to the majority of Mr. Carlyle's critics, we agree with him that the first life is properly the justification of the second.","his ""life of sterling"" was not so much the conscientious discharge of a trust as a labor of love, and to this is owing its strong charm.","evidently,","however,"
5399,"As with any MMORPG, Conan's classes are a huge bone of contention for many PVP players.",this seems to be a field that's pretty well balanced at present.,"happily,","however,"
799,We were told a week or so ago that sales for the month of August might look artificially good compared to last year because of Hurricane Katrina's negative impact on sales.,"katrina didn't hit land until august 29th, so if next month is the greatest month ever for car sales, we'll know why.","really,","however,"
1728,As such it's a popular stop off for those visiting the city and can get pretty packed and touristy.,most people order the irish coffee as it's the house speciality and it's certainly a good place to start: creamy and smooth with a real kick.,"unsurprisingly,","then,"
6156,Can you make them touch themselves?,that would mean you're touching yourself and risking a visit from mall security.,"probably,",but
3102,We are their vehicles and their enablers.,"they have managed to adhere in solid substance: clay tablets, cave walls, paper sheets.","lately,","however,"
1873,What better place to go to try to make a name for myself?,most of the credit for that goes to fixture congestion.,"really,","though,"
3048,"Still, it's important to remember statistics when you hear stories about the latest Disease of the Week.",a handful of meningitis cases have been reported since november.,"locally,",for instance
583,"Children are actually supposed to play with these things, remember, they're not just Dapolesque collectors' items.","character has become obsessed with releasing ""action-figures"" of geriatrics.","recently,","however,"
4118,"And, true, the darker, starker treatments brought out a surprisingly rich Texas tenor in Foster's singing, even when the vocals reached to treacherously high extremes during I'm In.",the performance illuminated considerable detail and color that sometimes gets buried on foster's recordings.,"mostly,","though,"
1551,These early projects were rarely collaborative in any meaningful sense and were part of a pattern inherited from colonial days.,it became clear that both the ethics of good research and the capacity to answer the important questions depended on establishing genuine international collaboration.,"increasingly,","however,"
365,One Kolo Toure partnered Campbell in most of his 49 appearances that year - it was the ideal learning platform for the young Ivorian.,the now aging campbell saved his finest moment for his final game.,"arguably,","though,"
419,"it at least breaks most of the fall, then it is just a major faceplant or tumble.","he never got high enough to start with and the board is not underneath him when he hits water, and.... .","occasionally,","however,"
5118,Airport X-ray machines can see through clothing to reveal concealed weapons and explosives.,they also provide a revealing image of a passenger's naked body (see all-seeing scan spares your blushes).,"inevitably,","though,"
5837,"I am more likely to try this ""planning"" on second serves than first.","i have found that this type of ""strategizing"" will hinder my returns, and then i invariably will go back to the mindless return.","frequently,","however,"
4022,Here are some other points Antonetti made on his year-end review:.,it would take a major upset for that to happen.,"realistically,","however,"
5579,"Many of the respondents surveyed in researching the book had emigrated from such countries as Sri Lanka and Ethiopia, which have been beset in recent decades by violence and civil strife.","unfavorable economic circumstances are, in many instances, compounding the difficulties that many of these newcomers have been forced to endure.","presumably,","then,"
5513,Actors are indeed paid well for a day's work.,the rates you read about are sag wages.,"often,","however,"
3425,"There is the old philosophical argument about whether one can even think about an object or concept, without having a name for it in one's head.","one can have a mental image of a physical object, such as (say) a sea-cucumber, without knowing that it is called a sea-cucumber or even a holothurian?","surely,","however,"
5694,"Were we to get him, I doubt he'd even be healthy for the playoffs.","i don't think parker knows enough about hockey, nor cares enough about hockey, to just blindly name marty lapointe.","maybe,",but
4656,Just jokes?,it's probably best to keep pics of your new bundle of joy as far away from black twitter as possible.,"absolutely,",but
1000,"But take humans out of the picture, do the laws of logic exists?",they would be meaningless.,"maybe,",but
2924,"We carry numerous bacteria on our skin, in our mouth, gut, and other tissues, and localized bacterial infections are common and mostly not harmful.",a localized infection turns into dangerous systemic....,"occasionally,","however,"
4543,"I just stop working out and eat loads of pizza, ice cream, and drink lots of Mountain Dew.",i do think that it's posible to gain mass working out only three times a week.,"seriously,","though,"
2424,"A few years of scrimping, saving, and consistent four- and five-digit extra payments toward those loans, and she'll be in fine shape.","this concept works only if she goes all dave ramsey on it, and can manage to not play ""keep up with the joneses"" as regards her spending habits.","admittedly,","though,"
4836,"(Good luck getting medical treatment in the future, if they can't.)",it's about the fact that not _everything_ in life needs to be politicized.,"mostly,","though,"
1804,"meanwhile, the mention of ""the needle/the dirty spoon"" on ""tonight"" cements it as a gorgeous but unsettling urban elegy.","the album builds on the hopeful, or at least living-for-the-moment, vibe that emerged at the end of desperate youth, blood thirsty babes.","notably,","though,"
629,"FEBRUARY EMBERS Richard and Patti Davis have slipped into the shadowlands of hopelessness, where their days stretch out endlessly ahead of them.","richard has been sitting up and taking notice of the new girl down the way; willow goodhope, with her red curls and her wild laugh.","lately,","though,"
5003,I will be looking for this first thing the next time I am at Sephora.,you look fantastic in these picks.,"truly,","though,"
3983,Diabetes and rheumatoid arthritis are associated with the syndrome.,a cause is not identified.,"frequently,","however,"
1338,I think we may need to agree to disagree on the Schroedinger's argument.,we have yet to hear a character mentioning an event in an alternate timeline as a 'momentous event in history'.,"perhaps,",but
3708,"He's preoccupied with something bigger: a deadly faerie game with the horned king of the dead and Dee, his girlfriend-who-isn't, at its center.",james and nuala form a cautious friendship.,"slowly,","though,"
919,"if he does land a taunt, just pop w and q when it ends and you'll still win the trade.",he just can't do anything against your human q. .,"mostly,","though,"
4719,"Economists are great apostles of efficiency, which they advocate so we have more money to spend on consumption.",they have little interest in how efficiently we spend our money.,"strangely,","however,"
5749,"After all, they represent the direct voices of readers, unfiltered except by judicious editing if the newspaper is doing its job.",so many letters are written on the same topic that the editor has to eventually step in to avoid redundancy and encourage discussion of other subjects.,"occasionally,","however,"
2930,Don't you think GM would like to unilaterally cut all of its workers salaries and stop paying out legacy costs?,since there is a union this is not possible.,"absolutely,",but
5309,"It is tempting, in extension, to see Benson's work, with its admittance of uncertainty and aporia, as more genuinely Socratic.",this socratic/whitmanic generosity is there in the defining device of the volume: questions.,"mostly,","however,"
2976,Did she know this man?,there was a simpler explanation.,"perhaps,",but
575,"However, these were arrived at by rejecting the proliferation of new technologies: the technology-driven design of Moore's law.",these solutions have now found application beyond the developing-world context for which they were intended.,"significantly,","however,"
6223,"Earlier in the year, we'd watched the Schoolhouse Rocks video, I'm Just A Bill, and my girls are well-acquainted with checks and balances, separation of powers and the like.","the singing parchment dancing on the steps of the capitol feels like an artifact rather than a well-intended, if naïve, blueprint for how laws get passed in washington.","increasingly,","though,"
2954,The game used to work fine.,the game has been freezing whenever i get on a server about a minute into the game.,"lately,","however,"
5304,"""Signal problems"" meant a delay of a few minutes.","communication on the trains has been so spotty, glassman said, that he doesn't know what to believe anymore.","lately,","though,"
4973,"The conscious, rational part of my brain was pretty sure that this was going to be awful.","there was still a small part of me that was hoping it might actually be good, and that if anyone could pull it off pixar could.","oddly,","though,"
2525,"I can certainly admire the renaissance-like restraint in both movements, but I also wish Muhly would 'let rip' a bit more.",that organ figure in the kyrie could have been made more of?,"surely,",for example
2249,"I've been in the US for almost five years now, and usually the differences between here and my home country fade into the background.",they're thrown into stark relief.,"sometimes,","though,"
4620,"And for decades, evangelical Christians have argued over proper roles for men and women.",some evangelicals who favor greater authority for males are tinkering with trinitarian doctrine.,"lately,","however,"
4860,"In close quarters, they exchanged in furious slugfests.",jones seized control.,"soon,","though,"
598,"Still, I bet your association with this role is going to be hard to top.","i don't really think of ""topping"" something in terms of finding a better role.","perhaps,",but
3594,"Some drivers are pulling up after a long trip, anxious to get a bidding number, he said, and the parking crew tries to be accommodating to everyone.",they've got to get tough.,"sometimes,","however,"
1921,Jonathan is dubious - a reaction Keaton conveys with an eyebrow-arching worthy of Jack Nicholson - and rebuffs the corpulent stranger.,the newly widowed architect becomes an evp believer.,"gradually,","however,"
4872,He believed that a change would occur in human nature.,he was the first economist to declare that economics was less crucial to human history than politics or sociology.,"significantly,","however,"
3511,This is a trait he keeps throughout the four films.,"it was""indy"" that walked out on him.","notably,","however,"
1644,Absolutely not.,i didn't put that in the original post.,"absolutely,",and
4111,I feel good commercial accounts can make the most money with a Z but getting good commercial accounts is hard.,"i would put my 36"" z cat against any 36"" walk behind for productivity.","maybe,",but
2088,was stimson then guilty of a crime (as many japanese now believe)?,it has to be recognized that he moved the issue to a higher plane than one of military ethics.,"arguably,",but
3889,Maybe there's a model that allows them to spin it out into an independent service that others could benefit from.,"i doubt that's part of the grand plan to ""get all your data.""","maybe,",but
2281,"Or, within the places established for Democratic nominee Barack Obama and Republican nominee John McCain, news and blogs pertaining to their campaigns for office.","the website makes for a quick visit, and so far the content presented by users is readable insofar as political discourse is concerned.","altogether,","however,"
144,Some were even forced to polish the floor of the barracks.,"on religious holidays and days when supplies were delivered to the camps, the camp committee could not fulfill the quota given by the thai military.","occasionally,",for instance
2148,"If your discount rate is less than 5.47%, both NPV curves are in positive territory, and you should do both, if you can.",the alternative investments are mutually exclusive.,"sometimes,","though,"
2393,"Over the years, the franchise gradually evolved into what it is today, based upon OUR wants, needs, and observation of our playing habits and tendencies.","i think the whole ""wwii"" theme has been done to death in fpss.","personally,","though,"
1766,Could they have called a foul?,it wasn't overtly obvious like it may have been had jennings got his body into johnson like he could have had he used his right hand.,"maybe,",but
5110,"1, the monitor 20 can be attached to the leg 14 below the patella 12 and proximate a shin 57 of the patient 16.",the monitor 20 can secured lower on the leg 14 than shown in fig.,"alternately,",for example
5444,"That's because making games for the DS doesn't cost an arm and a leg like, say, Gears Of War for the 360.",adventure games are more compelling.,"arguably,","though,"
4402,"""by the very nature of what you do,"" he said, ""you're going to offend some of the people some of the time.""","newspapers are going to extraordinary lengths to respect the diversity of its audience and avoid offending those constituencies unnecessarily, finneman said.","increasingly,","however,"
3762,"Maybe if she was a welfare queen, with a dozen kids from as many fathers, he would have been kinder and more politically correct.",there may be nothing that reflects better on lanny.,"probably,",but
3395,I loved it.,"it seemed a little too precious for me, and i found myself skipping large sections.","gradually,","though,"
5116,Anything that streamlines editorial work reduces costs and coincidentally results in a superior end product.,"before any copy-editing is undertaken, what the style nazi does is check your manuscript for conformity and completeness.","essentially,","then,"
3908,"And that, it seemed, was that.",zorro seems to be everywhere again.,"suddenly,","though,"
3656,He is not seeking students.,a student finds him.,"occasionally,","though,"
5289,"In published tables, those two powders are put down as being fastest and are faster than Bullseye, while Clays is usually put after Bullseye in the same tables.","the lot of clays tested for quickload was, indeed, faster than the lots of any of the other powders broemel tested.","undoubtedly,","though,"
3528,So there's not much to go wrong (and nothing you can replace).,the shaded pole windings on the stator short out and cause poor starting.,"occasionally,","however,"
5052,"He's not a manual laborer, per se, but it's a similar distinction.",i'd argue that people like simon tarses are in group 2.,"maybe,",but
1905,Are folks celebrating his failure to excess?,that's what happens when you paint a target on your back.,"absolutely,",but
5906,Too much to ask of a minority government?,bold visions aren't needed to set canada's relations with the world--in particular the u.s.--back on an unambiguous course.,"maybe,",but
5404,"Cress, supra note 41, at 27 (emphasis in original) (quoting J. Burgh, 2 Political Disquisitions: or, An Enquiry into Public Errors, Defects, and Abuses (1774-75)).",the widespread distribution of property would bring with it equally widespread access to arms and membership in the militia.,"presumably,","though,"
554,Personal computers have given everyday people a tool that they can use to increase their productivity and their income.,these same people make costly mistakes and they wind up spending more than necessary.,"occasionally,","however,"
1493,The Joker (Heath Ledger) in The Dark Knight - Is it weird that my favorite movie character is a murdering psychopath who kills everyone who stands in his way?,no one can deny the joker's unmatched evil charisma.,"maybe,",but
2935,Fluid normally drains through the angle.,"the fluid drains too slowly, which allows it to build up and increase the pressure in the eye.","sometimes,","however,"
1148,"They always emphasize the worst-case scenario, and it's usually not as bad as they predict.","it is very bad, worse than predicted in some way or other, though this seems to have occurred about once a decade in my lifetime.","occasionally,","obviously,"
2338,"The flame of the candle bouncing in the breeze, drifting through the busted glass of the window pane, didn't allow for very good visibility.","his eyes did adjust, and the man realized he was alone in the filthy, rundown room.","soon,","however,"
6120,Sometimes true.,there are real issues with this approach.,"usually,","however,"
1145,"the display is sharp, filled with 230k dots (about average for an inexpensive digital camera), but it's a little smaller than the 3-inch lcd on the bloggie touch.","the bloggie duo can claim it's got more screen real estate, because it sports an additional lcd, a 2-incher on the front of the camera.","technically,","though,"
3645,"Two weeks ago, the Republic lost all contact with the Star Destroyer Cygnus, without anything to indicate that it had been destroyed.","republic intelligence picked up a garbled signal seeming to originate from the cygnus, but a good distance away from its last known location.","recently,","however,"
5448,Is there a cheaper way to deal with conflict?,do not ask the military about it.,"perhaps,",but
534,"My strict Baptist upbringing, to that point, prevented me from succumbing to suggestive description on writing assignments.","i did begin to write more ""creatively.""","slowly,","however,"
