,sentence1,sentence2,dm1,dm2
0,"This procedure may be used in any internal, preferably soft, tissue, but is most useful in breast tissue, lung tissue, prostate tissue, lymph gland tissue, etc.",treatment and diagnosis of breast tissue problems forms the central theme of the invention.,"obviously,","though,"
1,"""Resilient members"" 13 can simply be compression springs having very high elastic moduli.",the resilient members 13 are hydraulic cylinders which can be selectively extended upon receiving hydraulic fluid from valve 77.,"preferably,","however,"
2,Médéric did not register at the beginning of the next school year.,he left the college in the summer of 1852.,"presumably,",therefore
3,One reason to be genuinely concerned about the possible use of nuclear weapons in an armed conflict.,"pakistan has ""just enough"" strategic depth to make any preemptive operation a very risky proposition indeed.","ironically,","though,"
4,"One thing going for them is that Lars Ramcke's vocals are more throaty, meaning he's far less prone to wail and scream like many of his contemporaries.","all the trademarks of prime germanic speed/power metal are here, with plenty of speedy riffs and anthemic choruses that fans of this style crave.","elsewhere,","though,"
5,To some extent it's true that a dog can be predisposed toward having a so-called soft mouth or a low-pressure bite.,it's a skill that must be trained like any other.,"mostly,","though,"
6,"If they did, would it mean the store owner should have done a better job figuring out how to be compensated for his merchandise?",the shoplifters are still doing wrong.,"probably,",but
7,"For ideologically grounded conservatives and libertarians, it was infuriating; the undecided swing vote could be swayed and Democrats prospered.",things had begun to change.,"already,","however,"
8,"""and do the painting and provenance tell us more about his sexuality, and possibly about the person to whom the sonnets are addressed?""","it may tell us more about the desire of wells to promote his new exhibition, shakespeare found, which opens next month in stratford.","perhaps,",but
9,I am sure there are a lot of people in between those extremes - polarized pro- and anti-development crowds.,we mostly hear from the zealots.,"probably,",but
10,Is he an exception?,he's an exception that almost certainly has no parallel among straight people.,"probably,",but
11,"But this shawl could perfectly well be in the more traditional garter stitch, because it's knit back and forth.","if i ever knit a fifth exemplar, i'll do it that way.","maybe,","indeed,"
12,"The bass thump in the chest is important, and the super-stereo effect can sometimes be annoying.","headphones make me jittery--paranoid about who might be sneaking up behind me, i guess.","mostly,","though,"
13,"As Lugo and Furton watched television on Schiller's 50-inch Mitsubishi, Doorbal and Griga walked into another room to talk business.",even schiller's surroundsound speakers couldn't muffle the discordant noises rising from the next room.,"soon,","though,"
14,"Based on the intensity and angle of the emitter units 104, the position and orientation of the detectors may be computed.",may be used to compute the position and orientation of the remotely controlled device 801.,"this,","in turn,"
15,"I know, some of you are going to point out that some readers will check back.",the vast majority won't.,"maybe,",but
16,Was is a good thing to get rid of Saddam?,i suspect that this depends on the historical perspective one is willing to consider.,"probably,",but
17,If I see them watching it sort of gets me excited and probably hitting harder - getting into it a little more.,i'm best just going into autopilot mode.,"usually,","though,"
18,"And, arguably, Godin does add his own affiliate ID in the link, which will presumably get him a cut for the hot, hot hardcover technology books he references in the text.",apple is being dicks.,"arguably,","as well,"
19,"But don't think too much about that as yet, because it's apparently another vaps idea still in development.","the pm's bill is a miniscule aspect of constitutional reform, tailored to suit narrow unc interest.","in sum,","however,"
20,"His original Troquet is much-loved, though rumor has it he's sold the mothership in order to focus on a new project.","he's still running the convivial, no-reservations offshoot, la cantine du troquet.","in the meantime,","though,"
21,Confused yet?,"you should know by now: relax, take deep breaths, etc.","probably,",but
22,"when i am running, my anxiety levels are more than manageable.",i have been all over the place.,"lately,","however,"
23,"But are youcapable of walking 4.5, 5 or even 6 mph?",you don't have to be especially fit to do it.,"absolutely,",and
24,Sometimes we don't think the person whose behavior we're talking about would be receptive to argument or argue in good faith.,the statement itself is simply false.,"sometimes,","however,"
25,"every day, i can feel that torrent in my head, and if i have one birthday wish it's just that i want them to stop it as soon as possible.","i'm a battle-scarred squid at the moment, worn down by too many deadlines but with the promise of a respite soon to come.","truly,","though,"
26,"In the week that has seen Mahatma Gandhi's statue being unveiled beside Winston Churchill's in London's Westminster Square, the question surely arises: what do governments gain by jailing political dissidents?","gandhi, the convict, won and churchill, the jailer, lost.","certainly,","in the end,"
27,"Search on ""Facebook"" plus any of these terms, and you will find millions of comments and complaints.","you won't need to, because the chance are that you have encountered all these forms of incivility if you have spent more than a few minutes on facebook whatsoever.","probably,","though,"
28,the skinny: these teams only started disliking each other recently.,"to outsiders, it must seem like a cross between symbiosis and a jealous lovers' quarrel.","really,","though,"
29,It's the most striking part of his look.,he is in decent shape for a guy his age.,"absolutely,",and
30,You are a very lucky woman.,it doesn't alway work out how we want.,"perhaps,",but
31,These administrative positions were highly paid.,led some to accuse the association of underpaying indian women for their work.,"this,","in turn,"
32,The art supplemented this ASP-based approach by incorporating a VPN (layer 2) connection between the LAN and client PC.,provided added client functionality inasmuch as the client pc appeared as though it was on the remote lan.,"this,","in turn,"
33,"Lewis, best known for his work in film, nightclubs and 30 years of muscular dystrophy telethons, has been in show business for 64 years.",broadway marks a new frontier for him.,"amazingly,","though,"
34,i know that having a kid already limits my options but i'm not concerned about that.,he certainly knows what to talk about.,"maybe,",but
35,"They've since debuted many high-expectations works then, most recently last year's Enchanted.",the live-action dalmatians didn't remain available very long.,"strangely,","though,"
36,That shareholders don't care a whit about the effect these Johnny-come-lately government lawsuits might have on their investments?,it's a reasonable sentiment at this point.,"probably,",and
37,"In this sense, the sounds of older influences within new music are not just a product of the artist's cultural borrowing, but of our own psychological interpreting.",we are not cognitively prepared to experience things as new.,"perhaps,",in other words
38,"Not all nutritionists are thrilled, especially if hummus contains canola or soybean oil, the use of which critics say is more about reducing costs than offering nutrition.",you could do much worse than a bowl of mashed chickpeas.,"in sum,","however,"
39,Does the Supreme Court let attorney get away with it?,i would hope they make a mental note and not pay attention to anything such an attorney might say in the future as it is completely unreliable.,"probably,",but
40,Humana Incorporated owns 75% of Health Care Indemnity and Humana's Netherland affiliate owns 25%.,humana is not a 100% owner of health care indemnity.,"technically,",therefore
