,File Number,Explicit Connective1,Explicit Connective2,Arg1 Complete,Arg2 Complete,Exp Sense1,Exp Sense2
0,wsj_0044,although,because,"They found students in an advanced class a year earlier who said she gave them similar help,","the case wasn't tried in court, this evidence was never presented publicly.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
1,wsj_0044,and,because,"Mrs. Yeargin says she pleaded guilty because she realized it would no longer be possible to win reinstatement,",she was afraid of further charges.,Expansion.Conjunction,Contingency.Cause.Reason
2,wsj_0045,and,when,"""It's as if France decided to give only French history questions to students in a European history class,","everybody aces the test, they say their kids are good in European history,"" says John Cannell, an Albuquerque, N.M., psychiatrist and founder of an educational research organization, Friends for Education, which has studied standardized testing.",Expansion.Conjunction,Temporal.Synchronous
3,wsj_0071,but,when,"Owner Al Brownstein originally planned to sell it for $60 a bottle,","a retailer in Southern California asked, ""Is that wholesale or retail?"" he re-thought the matter.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
4,wsj_0071,but,as,"""There may be sticker-shock reaction initially,"" said Mr. Pratt, ""","the wine is talked about and starts to sell, they eventually get excited and decide it's worth the astronomical price to add it to their collection.""",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
5,wsj_0072,but,if,"""There is always a chance of recession,"" added Mr. Guffey, ""","you ask me to put a percentage on it, I would think it's well below a 50% chance.",Comparison.Concession.Arg2-as-denier,Contingency.Condition+SpeechAct
6,wsj_0077,but,with,The industrial average jumped more than 41 points Tuesday as speculators rushed to buy shares of potential takeover targets.,"the end of the year in sight, money managers are eager to take profits and cut their risks of losing what for many have been exceptionally good returns in",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
7,wsj_0088,but,when,"Leo Melamed, Merc executive committee chairman, said that the 12-point limit appeared to lessen the selling panic Oct. 13.","the contract reopened, the subsequent flood of sell orders that quickly knocked the contract down to the 30-point limit indicated that the intermediate limit of 20 points was needed to help keep stock and stock-index futures prices synchronized.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
8,wsj_0089,and,after,"When their changes are completed,","they have worked up a sweat, ringers often skip off to the local pub, leaving worship for others below.",Expansion.Conjunction,Temporal.Asynchronous.Succession
9,wsj_0096,and,by,"Mr. Felten said, ""We got what amounted to a parking ticket,","complaining about it, we ended up with a sizable fine and suspension.""",Expansion.Conjunction,Contingency.Cause.Reason
10,wsj_0101,and,though,"The conference approved at least $55 million in direct cash and development assistance as well,","no decision was made, both sides are committed to adding more than $200 million in economic support funds and environmental initiatives sought by the Bush administration.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
11,wsj_0101,and,while,"These fiscal pressures are also a factor in shaping the Poland package,","more ambitious authorizing legislation is still pending, the appropriations bill in conference will be more decisive on U.S. aid to Eastern Europe.",Expansion.Conjunction,Temporal.Synchronous
12,wsj_0101,and,though,"To accommodate the additional cash assistance, the House Appropriations Committee last week was required to reallocate an estimated $140 million from the Pentagon.","the size of the loan guarantees approved yesterday is significant, recent experience with a similar program in Central America indicates that it could take several years before the new Polish government can fully use the aid effectively.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
13,wsj_0101,and,after,"The most recent example was a nearly $17.3 billion fiscal 1990 bill funding the State, Justice and Commerce departments.","losing a battle Tuesday night with the Senate Foreign Relations Committee, appropriators from both houses are expected to be forced back to conference.",Expansion.Conjunction,Temporal.Asynchronous.Succession
14,wsj_0114,and,though,"He and his successor, Mary Anne Dolan, restored respect for the editorial product,","in recent years the paper had been limping along on limited resources, its accomplishments were notable.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
15,wsj_0116,but,since,"Sales were roughly flat in the 1989 model year compared with a year earlier, though industry sales fell.","the 1990 model year began Oct. 1, Buick sales have plunged 33%.",Comparison.Contrast,Temporal.Asynchronous.Succession
16,wsj_0118,so,if,The New York Stock Exchange's attempt to introduce a new portfolio basket is evidence of investors' desires to make fast and easy transactions of large numbers of shares.,"index arbitrage is simply taking advantage of thin inefficiencies between two markets for the same widget, how did ""program trading"" evolve into the evil creature that is evoking the curses of so many observers?",Contingency.Cause.Result,Contingency.Condition.Arg2-as-cond
17,wsj_0127,and,while,"While there were no one-time gains or losses in the latest period, there was a one-time gain of #18 million in the 1988 period.","there was no profit this year from discontinued operations, last year they contributed #34 million, before tax.",Expansion.Conjunction,Comparison.Contrast
18,wsj_0139,but,as,"With lipsticks, liners, lotions   and creams,   There are still beauty plans   left to tackle:","the years go by, it   seems   That before I paint, I should   spackle.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
19,wsj_0162,but,with,"The October survey of corporate purchasing managers, as expected, provided evidence that economic growth remains subdued. An index of economic activity drawn from the survey stood last month at 47.6%; a reading above 50% would have indicated that the manufacturing sector was improving.","the index proving somewhat better than expected and the widely anticipated report on October employment scheduled to arrive tomorrow, stock prices firmed only modestly in response to the report and then faltered.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
20,wsj_0162,but,if,"""The psychology is still: `We want (stocks) up,","they don't carry we're going to sell them. '""",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
21,wsj_0173,but,as,"But Coleco bounced back with the introduction of the Cabbage Patch dolls, whose sales hit $600 million in 1985.","the craze died, Coleco failed to come up with another winner and filed for bankruptcy-law protection in July 1988.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
22,wsj_0208,such as,when,"The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention,",several of his top aides were uncovered as KGB plants and ejected from France and when a mysterious office fire was set just before Congress sent accountants to trace U.S. funds.,Expansion.Instantiation.Arg2-as-instance,Temporal.Synchronous
23,wsj_0208,and,when,"The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention, such as when several of his top aides were uncovered as KGB plants and ejected from France",a mysterious office fire was set just before Congress sent accountants to trace U.S. funds.,Expansion.Conjunction,Temporal.Synchronous
24,wsj_0214,but,as,"Others, just released from the majors, hope the senior league will be their bridge back into the big-time.","they hurl fireballs that smolder rather than burn, and relive old duels in the sun, it's clear that most are there to make their fans cheer again or recapture the camaraderie of seasons past or prove to themselves and their colleagues that they still have it -- or something close to it.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
25,wsj_0231,but,although,The golden share was scheduled to expire at the beginning of,"the golden share has been waived, a hostile bidder for Jaguar would still have to alter the British concern's articles of association which ban shareholdings of more than 15%.",Comparison.Contrast,Comparison.Concession.Arg2-as-denier
26,wsj_0238,but,when,"Typically, banks offer CD yields higher than those on Treasury bills, which are considered the safest short-term investments; banks need a competitive edge to sell their products.","market interest rates move up rapidly, increases in bank CD yields sometimes lag.",Comparison.Contrast,Contingency.Condition.Arg2-as-cond
27,wsj_0240,but,because,"""The solution is stronger domestic growth {in Germany},"" he said.","the growth of the German economy has been stronger than expected, Mr. Mulford said, it's difficult for the U.S. to argue that Germany ought to adopt more stimulative monetary and fiscal policies.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
28,wsj_0267,and,when,He has been considered several times for appointments to federal district and appellate court vacancies in Pennsylvania.,"he ran unsuccessfully for a state appellate court seat in 1983, the Pennsylvania Bar Association rated him ""one of the best available,"" after interviewing local lawyers.",Expansion.Conjunction,Temporal.Asynchronous.Succession
29,wsj_0267,but,when,"Then, as an additional precaution, the car dealership took the judge's photograph as he stood next to his new car with sales papers in hand -- proof that he had received the loan documents.","the judge received his payment book, he disavowed the deal.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
30,wsj_0278,and,although,But both sides appear to be more willing now to meet each other's terms to resolve the issue.,"Warner has said it wanted the producers to fulfill the terms of their contract, the producers said in sworn court declarations that they didn't believe the relationship could be repaired after the acrimony of the legal battle.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
