"File Number","Explicit Connective1","Explicit Connective2","Arg1 Text","Arg2 Text"
"wsj_0013","and","still","Northeast said it would refile its request","hopes for an expedited review by the FERC so that it could complete the purchase by next summer if its bid is the one approved by the bankruptcy court."
"wsj_0018","or","if","Documents filed with the Securities and Exchange Commission on the pending spinoff disclosed that Cray Research Inc. will withdraw the almost $100 million in financing it is providing the new firm if Mr. Cray leaves","the product-design project he heads is scrapped."
"wsj_0039","but","also","She gives the Artist a sense of purpose,","alerts him to the serious inadequacy of his vagrant life."
"wsj_0041","and","then","","this television commercial, paid for by Republican Rudolph Giuliani's campaign and produced by Roger Ailes, the master of negative TV ads, really gets down to business."
"wsj_0041","and","then","","this commercial, produced by Bob Squier, gets down to its own mean and dirty business."
"wsj_0041","and","so","The only fraud involved, cry Mr. Courter's partisans, is the Florio commercial itself,","the Courter campaign has responded with its own Pinocchio commercial, produced by Mr. Ailes."
"wsj_0044","when","in fact","Says the organization's founder, John Cannell, prosecuting Mrs. Yeargin is ""a way for administrators to protect themselves and look like they take cheating seriously,","they don't take it seriously at all."""
"wsj_0044","although","because","They found students in an advanced class a year earlier who said she gave them similar help,","the case wasn't tried in court, this evidence was never presented publicly."
"wsj_0044","but","also","Editorials in the Greenville newspaper allowed that Mrs. Yeargin was wrong,","said the case showed how testing was being overused."
"wsj_0044","and","because","Mrs. Yeargin says she pleaded guilty because she realized it would no longer be possible to win reinstatement,","she was afraid of further charges."
"wsj_0045","and","when","""It's as if France decided to give only French history questions to students in a European history class,","everybody aces the test, they say their kids are good in European history,"" says John Cannell, an Albuquerque, N.M., psychiatrist and founder of an educational research organization, Friends for Education, which has studied standardized testing."
"wsj_0064","and","therefore","They say that many vehicles classed as commercial light trucks actually carry more people than cargo","should have the same safety features as cars."
"wsj_0071","but","when","Owner Al Brownstein originally planned to sell it for $60 a bottle,","a retailer in Southern California asked, ""Is that wholesale or retail?"" he re-thought the matter."
"wsj_0071","but","as","""There may be sticker-shock reaction initially,"" said Mr. Pratt, ""","the wine is talked about and starts to sell, they eventually get excited and decide it's worth the astronomical price to add it to their collection."""
"wsj_0071","or","if","""","they feel the wine is overpriced and they can get something equally good for less."""
"wsj_0072","but","if","""There is always a chance of recession,"" added Mr. Guffey, ""","you ask me to put a percentage on it, I would think it's well below a 50% chance."
"wsj_0077","but","with","","the end of the year in sight, money managers are eager to take profits and cut their risks of losing what for many have been exceptionally good returns in"
"wsj_0081","but","later","Dr. Kligman patented the medicine while employed by the University,","licensed the Retin-A to a division of Johnson & Johnson."
"wsj_0088","but","when","","the contract reopened, the subsequent flood of sell orders that quickly knocked the contract down to the 30-point limit indicated that the intermediate limit of 20 points was needed to help keep stock and stock-index futures prices synchronized."
"wsj_0089","and","thus","Totally absorbed, the ringers stare straight ahead, using peripheral vision (they call it ""rope-sight"") to watch the other ropes","time their pulls."
"wsj_0089","and","after","When their changes are completed,","they have worked up a sweat, ringers often skip off to the local pub, leaving worship for others below."
"wsj_0090","and","then","Strong dividend growth, he says, is ""the black widow of valuation"" -- a reference to the female spiders that attract males","kill them after mating."
"wsj_0091","and","then","It acquired Thomas Edison's microphone patent","immediately sued the Bell Co. claiming that the microphone invented by my grandfather, Emile Berliner, which had been sold to Bell for a princely $50,000, infringed upon Western Union's Edison patent."
"wsj_0096","and","by","Mr. Felten said, ""We got what amounted to a parking ticket,","complaining about it, we ended up with a sizable fine and suspension."""
"wsj_0101","and","though","The conference approved at least $55 million in direct cash and development assistance as well,","no decision was made, both sides are committed to adding more than $200 million in economic support funds and environmental initiatives sought by the Bush administration."
"wsj_0101","and","while","These fiscal pressures are also a factor in shaping the Poland package,","more ambitious authorizing legislation is still pending, the appropriations bill in conference will be more decisive on U.S. aid to Eastern Europe."
"wsj_0101","and","though","","the size of the loan guarantees approved yesterday is significant, recent experience with a similar program in Central America indicates that it could take several years before the new Polish government can fully use the aid effectively."
"wsj_0101","and","after","","losing a battle Tuesday night with the Senate Foreign Relations Committee, appropriators from both houses are expected to be forced back to conference."
"wsj_0107","or","if","The department would be required to block the buy-out if the acquisition is likely to financially weaken a carrier so that safety would be impaired; its ability to compete would be sharply diminished; it would be put into foreign control;","the transaction would result in the sale of airline-related assets -- unless selling such assets had an overriding public benefit."
"wsj_0108","and","then","Propaganda is just information to support a viewpoint, and the beauty of a democracy is that it enables you to hear or read every viewpoint","make up your own mind on an issue."
"wsj_0112","and","then","By 1987, then-Speaker Jim Wright was discussing arms control in Moscow with Mikhail Gorbachev","attempting to direct the president, through an appropriations rider, to treat the Soviets as though the Senate had ratified SALT II."
"wsj_0114","and","though","He and his successor, Mary Anne Dolan, restored respect for the editorial product,","in recent years the paper had been limping along on limited resources, its accomplishments were notable."
"wsj_0116","but","since","","the 1990 model year began Oct. 1, Buick sales have plunged 33%."
"wsj_0116","and","so","But GMAC approved the Buick program, he says, because the American Express green card requires payment in full upon billing,","doesn't carry any finance rates."
"wsj_0118","and","then","What's more, the last time major Wall Street firms said they were getting out of program trading -- in the aftermath of the 1987 crash -- they waited a few months","sneaked back into it."
"wsj_0118","but","then","","came Oct. 13 and the negative publicity orchestrated by the Old Guard, particularly against index arbitrage."
"wsj_0118","so","if","","index arbitrage is simply taking advantage of thin inefficiencies between two markets for the same widget, how did ""program trading"" evolve into the evil creature that is evoking the curses of so many observers?"
"wsj_0118","but","because","Volatility surrounding his trades occurs not because of index arbitrage,","his is a large addition or subtraction to a widget market with finite liquidity."
"wsj_0121","but","although","","he thinks that it is hurting him, he doubts it could be stopped."
"wsj_0123","but","only if","A family of ceramic superconductors discovered during the past three years promise new technologies such as cheaper electrical generation --","their current-carrying capacity can be raised."
"wsj_0126","and","instead","Several years ago he gave up trying to persuade Miami to improve its city-owned Orange Bowl,","built his own $100 million coliseum with private funds."
"wsj_0127","and","while","","there was no profit this year from discontinued operations, last year they contributed #34 million, before tax."
"wsj_0139","but","as","With lipsticks, liners, lotions and creams, There are still beauty plans left to tackle:","the years go by, it seems That before I paint, I should spackle."
"wsj_0148","while","at the same time","Stock-index arbitrage -- Buying or selling baskets of stocks","executing offsetting trades in stock-index futures or options."
"wsj_0149","and","thus","Market sources said Reliance has already sold its entire UAL stake,","wouldn't have any reason to file the application simply to boost the value of its stock."
"wsj_0162","but","with","","the index proving somewhat better than expected and the widely anticipated report on October employment scheduled to arrive tomorrow, stock prices firmed only modestly in response to the report and then faltered."
"wsj_0162","and","then","But with the index proving somewhat better than expected and the widely anticipated report on October employment scheduled to arrive tomorrow, stock prices firmed only modestly in response to the report","faltered."
"wsj_0162","but","if","""The psychology is still: `We want (stocks) up,","they don't carry we're going to sell them. '"""
"wsj_0173","but","as","","the craze died, Coleco failed to come up with another winner and filed for bankruptcy-law protection in July 1988."
"wsj_0179","but","if","","Columbia could keep its junk bonds separate from the thrift till they mature -- at full value, unless the issuer goes bust or restructures -- the junk portfolio might do all right."
"wsj_0186","and","then","Programs like Section 8(A) are a little like leaving gold in the street","expressing surprise when thieves walk by to scoop it up."
"wsj_0188","and","finally","Comprehensive Care had agreed to be acquired by closely held First Hospital Corp. of Norfolk, Va., but the sale sputtered almost from the beginning","collapsed last week."
"wsj_0189","but","also","Its cereal division realized higher operating profit on volume increases,","spent more on promotion."
"wsj_0208","such as","when","The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention,","several of his top aides were uncovered as KGB plants and ejected from France and when a mysterious office fire was set just before Congress sent accountants to trace U.S. funds."
"wsj_0208","and","when","The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention, such as when several of his top aides were uncovered as KGB plants and ejected from France","a mysterious office fire was set just before Congress sent accountants to trace U.S. funds."
"wsj_0214","but","as","","they hurl fireballs that smolder rather than burn, and relive old duels in the sun, it's clear that most are there to make their fans cheer again or recapture the camaraderie of seasons past or prove to themselves and their colleagues that they still have it -- or something close to it."
"wsj_0231","but","although","","the golden share has been waived, a hostile bidder for Jaguar would still have to alter the British concern's articles of association which ban shareholdings of more than 15%."
"wsj_0238","but","when","","market interest rates move up rapidly, increases in bank CD yields sometimes lag."
"wsj_0239","but","as","","the French embody a Zen-like state of blase when it comes to athletics (try finding a Nautilus machine in Paris), my fellow conventioners were having none of it."
"wsj_0240","and","instead","Rep. John LaFalce (D., N.Y.) said Mr. Johnson refused to testify jointly with Mr. Mulford","asked to appear after the Treasury official had completed his testimony."
"wsj_0240","but","because","","the growth of the German economy has been stronger than expected, Mr. Mulford said, it's difficult for the U.S. to argue that Germany ought to adopt more stimulative monetary and fiscal policies."
"wsj_0240","but","nonetheless","","U.S. companies might be more successful in European markets if not for the German export push, he said."
"wsj_0242","but","even though","","NATO negotiators have only 10 months left under the Bush timetable, they are still wrestling over such seemingly fundamental questions as ""What is a tank?"""
"wsj_0250","and","then","Employers could also pay a subminimum ""training wage"" for 90 days to new workers who are up to 19 years old,","for another 90 days if the company institutes a specific training program for the newcomers."
"wsj_0257","and","finally","The West Germans then took over","found Markus Hess."
"wsj_0267","and","when","","he ran unsuccessfully for a state appellate court seat in 1983, the Pennsylvania Bar Association rated him ""one of the best available,"" after interviewing local lawyers."
"wsj_0267","but","when","","the judge received his payment book, he disavowed the deal."
"wsj_0272","and","also","Berthold is based in Wildbad, West Germany,","has operations in Belgium."
"wsj_0277","but","also","That was just an early step in a relationship with government that has earned the Mitsubishi group the dubious moniker of ""seisho,"" literally government-business, a title that has the pejorative connotation of doing the government's bidding,","suggests the clout inherent in maintaining such close ties."
"wsj_0278","and","although","","Warner has said it wanted the producers to fulfill the terms of their contract, the producers said in sworn court declarations that they didn't believe the relationship could be repaired after the acrimony of the legal battle."
"wsj_0282","and","then","Mr. Moon planned to convert millions of Americans to his unique brand of Christianity -- in which he plays the role of Old Testament-style temporal, political messiah --","to make the U.S. part of a unified international theocracy."
"wsj_0284","and","because","Mrs. Marcos had claimed that she didn't have to turn over the documents because she was brought here involuntarily","providing the materials would violate her marital privilege."
"wsj_0286","but","in the end","""",", top management decided to follow the voice of the younger generation."""
"wsj_0286","and","then","The big one: A company's culture can't be radically changed unless top management first admits that things have gone badly awry","publicly leads the charge."
"wsj_0286","but","when","","they arrived at the door, all were afraid to go in, fearing that they would be out of place."
"wsj_0286","but","instead","Nissan handled the die-hards in a typically Japanese fashion: They weren't fired","""were neglected,"" says Kouji Hori, the personnel manager at the Nissan Technical Center."
"wsj_0290","and","later","Unfortunately, according to Webster's Biographical Dictionary, ""His policies went beyond his control and resulted . . . in riots and disturbances""","a renewed campaign of civil disobedience ""resulted in rioting and a second imprisonment."""
"wsj_0296","and","yet","Asked if the Soviets, like Chinese officials, won't one day face a similar conflict between the desire to liberalize economically","retain political control, Mr. Lee said, ""I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world."""
"wsj_0296","and","if","""","the Europeans come in, they benefit too."
"wsj_0296","and","yet","I really do not understand how it is that Filipinos feel so passionately involved in this father figure that they want to dispose of","they need."
"wsj_0296","and","when","","they lose, then we can expect China to stop aid."
"wsj_0296","and","then","The Chinese cannot be seen to have made use of the Khmer Rouge","discard them."""
"wsj_0300","but","instead","He could develop the beach through a trust,","is trying have his grandson become a naturalized Mexican so his family gains direct control."
"wsj_0301","and","later","",", Japan raised its official discount rate by a half point to 3.75%."
"wsj_0305","yet","although","","California Plant Protection was netting bigger and bigger clients -- the firm provided security for the 1984 Summer Olympics in Los Angeles -- it still didn't have the name recognition of Pinkerton's."
"wsj_0305","so","when","","American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations, Mr. Wathen saw a chance to accomplish several objectives."
"wsj_0305","and","still","This year, Mr. Wathen says the firm will be able to service debt","turn a modest profit."
"wsj_0305","and","then","","there's the case of the missing gold watch."
"wsj_0309","but","even if","","he agrees, Mr. Kemp doesn't write the nation's housing law -- Congress does."
"wsj_0314","and","then","The NAM embraces efforts, which both the administration and the medical profession have begun, to measure the effectiveness of medical treatments","to draft medical-practice guidelines."
"wsj_0326","but","even before","","it begins, the campaign is drawing fire from anti-smoking advocates, who criticize Philip Morris's attempt to bolster its beleaguered image by wrapping itself in the document that is a cornerstone of American democracy."
"wsj_0326","and","in fact","""I'm outraged because this company is portraying itself at the heart of American culture and political freedom","it's a killer,"" says Michael Pertschuk, former chairman of the Federal Trade Commission and a tobacco-industry critic."
"wsj_0326","and","at the same time","If you can do that","send a message that supports your business, that's brilliant."""
"wsj_0328","and","while","","imposing a statutory cap of $1.6 billion on future spending, the bill would give NASA $30 million for the start-up of the CRAF-Cassini mission, a successor to the Voyager space probe."
"wsj_0328","and","while","","pursuing these initiatives, Congress and the White House are squeezed too by steady increases -- $551 million -- in veteran's medical care."
"wsj_0336","and","then","Mr. Marcus believes spot steel prices will continue to fall through early 1990","reverse themselves."
"wsj_0336","and","while","","customers such as steel service centers are continuing to reduce inventories through the fourth quarter, they eventually will begin stocking up again, he notes."
"wsj_0339","and","then","Boyer and Cohen, for instance, both still university researchers, had to be talked into applying for a patent on their gene-splicing technique --","the Patent Office refused to grant it."
"wsj_0349","but","as long as","The Big Board wants to keep such index funds from fleeing to overseas markets,","it ""handles it intelligently,"" Mr. Phelan said."
"wsj_0409","but","rather than","","write off home fitness equipment, she traded up: Ms. Igdaloff just paid about $900 for a fancier stationary bike, with a timer, dials showing average and maximum speeds and a comfortable seat that feels almost like a chair."
"wsj_0409","and","by","It's an activity she feels she can do for life,","pulling a golf cart, she still gets a good workout."
"wsj_0413","and","then","""All you have to do is eat a big pizza,","go to bed,"" he says."
"wsj_0413","and","then","Suddenly the woman begins swaying","writhing."
"wsj_0414","but","then","","it was acquired by Household International Inc."
"wsj_0414","but","also","In an advisory letter, the department said that, starting Oct. 18, loans could be limited to ""parties in interest,"" which generally means active workers","includes retirees who continue as directors and 10% shareholders."
"wsj_0415","but","after","","building up a commanding lead, the moderate to conservative Mr. Collor has slipped to about 30% in the polls from a high of about 43% only a few weeks ago."
"wsj_0415","and","then","It's not uncommon to wait three minutes for a dial tone after picking up the telephone,","to be interrupted by a busy signal before finishing dialing the number."
"wsj_0422","but","if","","reinvested dividends are excluded, investors put in only $340 million more than they pulled out for the month."
"wsj_0426","but","if","","it survives, it could prompt other statutory changes, according to the Mr. Burr."
"wsj_0430","but","as","","Judge Thomas M. Jenkins donned his robes so he could give final approval, the major earthquake struck, its epicenter not far from his courtroom in Redwood City, Calif."
"wsj_0437","but","as","","Highland Valley and Cananea begin operating, they are expected to resume their roles as Japan's suppliers."
"wsj_0445","and","so","Because the Japanese ""alphabet"" is so huge, Japan has no history of typewriter use,","""keyboard allergy,"" especially among older workers, remains a common affliction."
"wsj_0445","and","also","""But new managers will have to be creators and innovators . . . and for that purpose it is necessary to create an environment where information from both inside and outside the company can be reached easily,","shared."""
"wsj_0445","and","because","","general retail centers such as ComputerLand have little presence in Japan, sales remain in the iron grip of established computer makers."
"wsj_0453","and","then","The Nissan logo flashed on the screen for a moment,","came a taped plea for donations from former President Reagan -- followed by the silent print telling viewers where to call."
"wsj_0453","but","as","","advertisers latch onto disasters with increasing frequency, they risk hurting themselves as much as helping the cause."
"wsj_0453","and","by","","basing donations on BK Doubles, a new double-hamburger line the fast-food chain is trying to push, Burger King works a sales pitch into its public-service message."
"wsj_0462","and","as","Western Union has had major losses in recent years as its telex business has faltered in the face of competition from facsimile machines","other business ventures have gone awry."
"wsj_0465","but","if","","the genes are damaged -- perhaps by radiation, a chemical or through a chance accident in cell division -- their growth-suppressing proteins no longer work, and cells normally under control turn malignant."
"wsj_0469","but","then","Under New York law, elected judges must retire at age 70,","can be appointed to two-year terms until they reach 76."
"wsj_0469","but","when","The woman appeared in court Thursday to enter her plea,","she started to approach the bench, she was stopped by Judge Hancock."
"wsj_0504","and","with","Value Line added, ""With discounts widening on business papers,","newsprint and corrugated shipments flat, we expect negative earnings comparisons through next year."""
"wsj_0515","and","with","They only know of one use for the crop, as a laxative,","psyllium prices currently languishing in the wake of a bumper crop, they think of the seed as a marginal crop, something to grow between summer wheat crops."
"wsj_0515","so","when","","next year's psyllium crop is harvested in March, it may be smaller than the 16,000 metric tons of the past few years -- right at the crest of the psyllium boom."
"wsj_0518","but","then","","they wake up to a nightmare."
"wsj_0524","but","with","","local investors shaken by China's political and economic turmoil, she says, a genuine recovery may not arrive until Hong Kong can prove itself secure under Chinese sovereignty."
"wsj_0524","but","if","","the Japanese return in force, their financial might could compensate to some extent for local investors' waning commitment."
"wsj_0525","and","while","","signs of an economic slowdown, softer corporate earnings and troubles with takeover financing all have contributed to the stock market's recent weakness, many investors rushed to blame program trading for aggravating market swings."
"wsj_0526","and","then","I mean, these folks are so uptight that they blame pretty Kate for the fact that when she was a teen-ager, someone tied her hands behind her back, thrust her head into a gunny sack, brutally raped and beat her,","left her to die in a cold-storage room."
"wsj_0530","but","with","","sales growth sluggish and other men's stores putting on the heat, the venerable retailer can no longer afford such a smug attitude."
"wsj_0546","and","also","Nam Angels shows Angels fighting with each other","depicts them as showing no remorse when a member is killed."
"wsj_0553","and","in particular","He is a politician with the courage of true conviction, as in summarily sacking exchange controls","slashing the top rate of income taxation to 40%."
"wsj_0553","but","in the end","","his resignation as Chancellor of the Exchequer may be a good thing, especially if it works as he no doubt intends -- by forcing Prime Minister Thatcher and her counterparts elsewhere to confront the genuine intellectual issues involved."
"wsj_0553","and","instead of","In the end, neither policy was followed,","learning anything we are left with a mystery."
"wsj_0554","and","while","","last week the agency hired a top Chiat/Day/Mojo executive, Bill Hamilton, to try to bolster its work, ""Graham has to get the revenue of that New York office moving,"" says James Dougherty, an analyst with County NatWest Securities."
"wsj_0558","but","because","","these claims are more difficult to evaluate and have been coming in more slowly, the company has no estimate of the impact of the earthquake on fourth-quarter results."
"wsj_0560","and","therefore","It is expected that the current surge in demand for new power will be filled primarily by independent producers which, unlike utilities, aren't regulated","don't need government approval to construct new plants."
"wsj_0560","or","if","Still, Westinghouse acknowledges that demand from independent producers could evaporate if prices for fuel such as natural gas or oil rise sharply","utilities, which have been pressured by regulators to keep down rates, are suddenly freed to add significant generating capacity."
"wsj_0561","but","if","","the A's hadn't won in four, they would have prevailed in five, or six, or seven."
"wsj_0562","but","instead of","""","gathering their input piecemeal, we formed the team, which reached consensus on the proposal objectives and produced a statement of work to guide all the functions that were involved."""
"wsj_0569","and","then","You make a forecast,","you become its prisoner."""
"wsj_0575","and","so","Control Data's semiconductor business, VTC Inc., continues to lose money, the executives acknowledged, but they said they consider some of the technology vital to national defense","are reluctant to dispose of it."
"wsj_0575","but","while","","its stock is selling at about half Control Data's estimated breakup value, neither Messrs. Perlman nor Price said he spends much time considering the possibility of a hostile takeover."
"wsj_0583","and","while","","Polly Peck isn't jettisoning the existent top-management structure of Sansui, it is bringing in a former Toshiba Corp. executive as executive vice president and chief operating officer."
"wsj_0589","and","since","Cosmetics companies roll out new makeup colors several times a year,","most products can be easily copied by competitors, they're loath to test them with consumers."
"wsj_0590","but","if","","the cooperative attitude holds and there is greater consultation on covert activities, the country could be entering an era when such hare-brained schemes are scrapped before they get off the drawing boards, while risky but well-planned secret operations can be undertaken without fear that a panicky Congress will balk."
"wsj_0598","and","then","They claimed that the Fed would first give a green light to the economy by making credit readily available","turn on the red and bring growth to a screeching halt."
"wsj_0598","and","when","After thoroughly digesting reams of information, he often concludes that more data are needed,","he finally decides to act, his movements sometimes seem excrutiatingly small."
"wsj_0598","but","if","","the Fed eases too soon, Mr. Greenspan fears, prices may begin to accelerate again next year."
"wsj_0609","and","before","They base their argument on a clause buried in Article I, Section 7, of the Constitution that states: ""Every order, resolution, or vote to which the concurrence of the Senate and House of Representatives may be necessary (except on a question of adjournment) shall be presented to the President of the United States;","the same shall take effect, shall be approved by him or . . . disapproved by him. . . ."""
"wsj_0609","and","before","""Every order, resolution, or vote to which the concurrence of the Senate and House of Representatives may be necessary (except on a question of adjournment) shall be presented to the President of the United States;","the same shall take effect, shall be approved by him, or being disapproved by him, shall be repassed by two-thirds of the Senate and House of Representatives, according to the rules and limitations prescribed in the case of a bill."""
"wsj_0610","and","as","""As we regain our leadership level where we have been,","we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said."
"wsj_0617","and","then","Mrs. Marcos and her late husband, former Philippines President Ferdinand Marcos, were charged with embezzling more than $100 million from that country","fraudulently concealing much of the money through purchases of prime real estate in Manhattan."
"wsj_0629","and","even when","","specific projects are described in prospectuses, the money often is used elsewhere, according to analysts."
"wsj_0664","and","then","Investors usually don't want to take physical delivery of a contract, preferring instead to profit from its price swings","end any obligation to take delivery or make delivery as it nears expiration."
"wsj_0666","and","thus","Mr. Palmero recommends Temple-Inland, explaining that it is ""virtually the sole major paper company not undergoing a major capacity expansion,""","should be able to lower long-term debt substantially next year."
"wsj_0669","and","because of","The executive said that the anticipated earnings increase is fairly modest because Nissan is spending heavily to bolster its dealership network in Japan","currency-exchange fluctuations."
"wsj_0671","but","while","","analysts say that municipal bonds still offer good value, you wouldn't know it by the way institutional investors are rushing to dump their holdings."
"wsj_0681","but","because","He forecasts that the emphasis in mergers and acquisitions may soon return to what he calls ""strategic deals, in which somebody is taking over a company not to milk the cash flow,","it's a good fit."""
"wsj_0681","and","with","Third-quarter earnings have been generally disappointing","economic data showing a clear slowing, the outlook for earnings in the fourth quarter and all of 1990 is getting worse."
"wsj_0686","and","as","Appropriations committees have used an assortment of devices to disguise as much as $1 billion in spending,","critics have awakened to these devices, the bill can seem like a wounded caribou trying to make it past ice and wolves to reach safer winter grazing."
"wsj_0687","and","when","","they were no longer needed, they were turned loose unprepared to build lives of their own."
"wsj_0687","and","now that","For years, we tried to ignore the problem of poverty,","it has gotten out of hand it's a new crusade for the media and our Democratic Congress."
"wsj_0687","but","when","Nobody should have to live in such poor conditions as in ""Sugar Ditch,""","you travel to Washington, Boston, Chicago or New York, the same problems exist."
"wsj_0692","and","then","We'd do the strategy","we'd come around and do the budget."
"wsj_0692","before","finally","As it is, we identify national goals and the threats to these goals, we shape a strategy to counter these threats, we determine the forces needed to execute the strategy,","forging the budgets needed to build and maintain the forces."
"wsj_0692","and","as a result","","-- as the recent vote by the House to undo Mr. Cheney's program terminations suggests -- the preservation of jobs is becoming the real goal of defense ""strategy."""
"wsj_0692","and","therefore","But ZBB did not involve the strategic planners in the Joint Chiefs of Staff,","degenerated into a bean-counting drill driven by budget politics."
"wsj_0693","but","once","","the pound steadied with help from purchases by the Bank of England and the Federal Reserve Bank of New York, the dollar was dragged down, traders say, by the stock-market slump that left the Dow Jones Industrial Average with a loss of 17.01 points."
"wsj_0700","but","afterward","The contract was first proposed more than two years ago,",", the colony's markets were hit hard by the October 1987 global stock crash."
"wsj_0728","and","then","Mr. Dorfman states that an investor who invested $100,000 a year ago in the first four stocks selected by your pros","sold those one month later, purchasing the four new pro picks, and repeated this process for the year would have accumulated $166,537, excluding account dividends, taxes and commissions."
"wsj_0730","but","then","",", he says, they put two loaded pistols to his temple and demanded he open the safe."
"wsj_0730","and","then","""They have to work such long hours","we expect them to be heroes if there's an evacuation."""
"wsj_0741","and","later","In 1796, Mayer Amschel Rothschild founded Bankhaus M.A. Rothschild & Sons","sent his four sons to London, Paris, Vienna and Naples to begin the bank's expansion during the early 19th century."
"wsj_0742","and","then","""I think they should close down the futures exchange","we could get back to investing."""
"wsj_0742","and","although","","criticism of futures generally comes from Wall Street, one Chicago futures trader notes that brokerage firms rely on futures as hedging tools when they buy and sell big blocks of stocks from institutions."
"wsj_0750","but","then","""We could have called ourselves the Academic Intellectual Society,","everyone would have said, `Oh, you mean the nerd-and-geek club, '"" Leonid Fridman, SONG's graduate-student adviser, told 19 attendees at the club's inaugural meeting earlier this month."
"wsj_0756","and","later","For example, the proposed overhaul of prices -- an extremely sensitive political topic -- is far more precise than the vague plans announced by Mr. Gorbachev in 1987","dropped."
"wsj_0758","and","then","The pitch sailed toward Bobby Thomson high and inside",", with a crack of the bat, was sent rocketing back into the lower leftfield stands."
"wsj_0758","and","when","","Mr. Engelken's sister, Martha, who was born two days before the home run, reached her 25th birthday, Mr. Engelken wrote his sports hero to tell him of the coincidence of events."
