id,sentence1,sentence2,dm1,dm2
4143,the group's two retail businesses - boots and alliance pharmacy - currently trade separately and the management has no intention of rushing the integration of the businesses.,"they will merge with all 2,000-plus uk stores trading under the boots name.","eventually,","however,"
5639,"In a rare show of common support, five of the top biofuels associations and 50 companies all worked together to support this effort.","with a limited session and reluctance to open the floodgates to new provisions, it wasn't in the final legislation.","ultimately,","however,"
4769,"Baez also claimed Casey's brother might be Caylee's father and that a meter reader who discovered the girl's remains may have moved them, more allegations that weren't substantiated.",the burden of proof wasn't on baez.,"ultimately,","though,"
3873,"This may be easier to see with the dot product of vectors, but we will leave that topic for another day.","please note that unlike matrix addition and subtraction, in matrix multiplication we do not just multiply element by element.","specifically,","however,"
187,You're all very kind and supportive.,i feel an unsolicted yet 'keeping it clear' integrity need to reiterate i never claim to have this thing licked.,because of that,"though,"
152,"If everything had gone according to plan, we'd be in Stage Twenty already.",this is mostly my fault for barely replying my entire last semester and not moving things along during the semester before that.,"obviously,",and
1286,"The Wallace strategy generated some buzz and brought to the fore a number of impressive female activists, many of whom went on to be councillors, Senators or TDs.",the improvement in female participation was marginal and the targeted efforts to enhance it further were not sustained.,"overall,","however,"
3290,"the proposed fair now had an address, but not a cent available to raise it from beneath the waters of the bay.","the exploratory committee formed by mayor rossi had become a corporation, with insurance man leland cutler at its head.","meanwhile,","however,"
5186,Meaning the business owner will lose money.,mr. eagle tattoo will be fired.,"meaning,","eventually,"
727,"it is fair to say that the workgroup agreed on some basic principles, such as the need for an orderly procedure.",the cde had to make a decision about the elements of a package to bring forward.,"ultimately,","though,"
1592,This functionality was previously only available to paying customers.,anyone who wants access to the full feature set will still need to cough up $30 a year.,"ultimately,","though,"
5371,But...that was the idea.,a lot of it's just a matter of deciding who i'd be more convincing as.,"overall,","though,"
2663,"Perhaps lured by the perception of easier convictions and tougher sentences, prosecutors opt to proceed federally.","this ""puzzling"" or pragmatic use of federal law has cost the federal government much time, money, and energy in litigating this case.","obviously,","however,"
6475,"In 1996, as this new war in the Congo escalated, the West once again began to discuss a 'humanitarian' intervention (to be led by Canada).",they were pre-empted by local military actors.,"again,","however,"
5725,"Thus, a ""page program"" command 816 is performed on memory bank 0 (bank 202) from serial data link interface 1 (serial data link 236).",a read command 818 is performed on memory bank 1 (bank 204) by serial data interface 0 (serial data link 230).,"meanwhile,",simultaneously
6478,"This caused a certain amount of distress for both Castillo and Yar, who had developed romantic feelings for one another.",yar decided to join castillo and the crew of the enterprise -c when she learned that she had died a meaningless death in the other timeline.,"eventually,","however,"
2493,"Ultimately, in East Lancashire, 120 beds were closed, leaving about 950 beds among the sites.",the trust built better primary care and overtly aimed for better health outcomes.,simultaneously,"however,"
38,"Not all nutritionists are thrilled, especially if hummus contains canola or soybean oil, the use of which critics say is more about reducing costs than offering nutrition.",you could do much worse than a bowl of mashed chickpeas.,"in sum,","however,"
602,My husband said he couldn't tell any difference.,one day the gals at fox pilates were talking about yamuna zake's new body rolling system for the face.,but,"then,"
4170,"Crook himself came down to Sonora, Mexico, where he discussed with Geronimo over two days, March 25-27, how he might peacefully surrender.",a local merchant provided the apaches with some mescal.,"meantime,","however,"
5573,"Consequently, a sufficient amount of water to coordinate to the polyols, to wet the abrasives, and to swell the thickeners must also be present.",phase separation and shrinkage can take place over time.,"on the contrary,","however,"
6043,"Alas, I didn't get to hear Ms. Labelle - swollen vocal chords apparently prevented her from appearing.","i still got to hear knoxville, thanks to the efforts of kendra colton, who subbed for labelle at the last minute.","luckily,","however,"
4624,Hoffman gives his readers as much graphic sexual description as most could want.,hard is not a story about sex.,"in the end,","however,"
4175,"On the plus side, at least The Understanding is better than Human After All, Daft Punk's new album.","we get proper full-length versions of ""it's like that,"" ""it's tricky,"" ""king of rock,"" ""mary mary,"" ""walk this way,"" and ""peter piper. ""","fortunately,","however,"
1902,"Second, in PR, as well as in the disarmament movement, we see him drawn to political work that has the potential for broad appeal across various ideological lines.","this follows from the first two observations, my father's political work was always driven by an idealistic yearning for radical social transformation.","third,",and
2783,There are few things done with computers these days that haven't been done before with regards to the War.,"some dated looking graphics, 360 loses some of its edge.",because of that,and
2328,"The City has certainly made efforts to listen, through neighborhood meetings as well as surveys.","going out to an event can be a luxury, only available to those who have the free time.",but,"again,"
1621,"However, Longworth wouldn't reveal whether HP itself was interested in making a Tegra-based netbook, saying that Nvidia ""can't comment on our partners' plans.""",this prototype shows the potential for using tegra in a netbook.,"in the meantime,","though,"
532,It should be noted that the signal referred to corresponds to a level stored digitally from a prior frame (SN) at the same array location (H and V).,"gate 34 enables the new selected focus level from converter 31 to be entered into focus level memory 29, replacing the old level.",simultaneously,and
1647,The U.S. military uses many unique items and concepts that civilians aren't exposed to.,"the need for expedient, clear communication, service members are immersed in a linguistic world apart from the daily life of a civilian.",because of this,and
3281,"As such, I really enjoyed Andrew Peterson's piece on the recent tour.",i always end up inspired and hopeful after everything ap writes--he has a gift.,"basically,","though,"
5834,"He was a decorated pilot in World War II, flying 35 missions in a B-24 bomber.",mcgovern did enormous good in programs to feed the needy throughout the world.,"again,","however,"
43,"So the maids went out, carrying a torch, and made the beds, to which a man-servant presently conducted the strangers.","did telemachus and pisistratus sleep there in the forecourt, while the son of atreus lay in an inner room with lovely helen by his side.","thus,","then,"
539,"Of course this is horribly unlikely because most sermons are useless tripe, but...you get the idea.","let's say you started to see that unbelief seemed more like kind of petulant, childish rebelliousness than an honest pursuit of truth.","or,","again,"
3637,Report on Carey's interview.,mariah denied her comment was meant for kim k. .,afterward,"however,"
2917,ETFS Physical Platinum Shares (PPLT) 1.8% Lingering European concerns have given the jitters to U.S. investors.,strength can be seen in some growth-correlated assets.,"interestingly,","however,"
2815,But at the same time hints at moments of cruelty and casual racism.,"borges comes in for much praise - not just for his work, but for renewing the spanish language by way of borrowings from other tongues.","overall,","though,"
3273,This means that government--at all levels--cannot be sued unless it consents and it can set the conditions for doing so.,the federal government has consented to its being sued to establish a right in land to which the government lays claim.,"so,",for example
2068,It also hovers around the million-seller mark worldwide.,there is an opposite performance increase/decrease between these two games in the us and japan.,"interestingly,","though,"
4550,"Principally for them, of course.","all else being equal, they would rather that the usa thrive, than that it not.",but,"still,"
2101,"Furthermore, it will not set quotas based on current prices.","of this agreement, $4 billion us, plus interest, will be repaid to the canadian softwood lumber industry.",consequently,as a result
4754,this does not affect eads that were issued before the injunction.,most important - these affected individuals have already been issued a new 2-year ead as a replacement for the invalid 3-year ead.,"also,",and
4187,the man's presence was detected by the guards in the security control centre and the night guard was despatched to apprehend the trespasser and was on the scene within three minutes.,"the intruder had managed to swipe a set of keys from an unguarded sentry box just outside the main gates, as a search would no doubt have revealed.",by then,"though,"
1185,"josh beckett can't get out of the second inning, but temporary big league call-up david pauley goes deep into the seventh.",they both end up with the same throbbing headache: a loss to the new york yankees.,"yet,","in the end,"
5550,modest goals of around 65 minutes for the half distance would indicate he will tackle the full 42km.,it's 8km through high park that dominates his race planning at the moment.,"in the meantime,","though,"
4119,"WHEREAS, the Company desires to employ the Employee and Employee desires to be employed by the Company on the terms set forth herein;.","in consideration of the mutual covenants and agreements set forth in this agreement, the company and the employee agree as follows:.","now,",therefore
5570,"If he were pleasing God, his wife would fall right in line.","if there are troubles in a church, if it is experiencing strife or isn't growing, it must be the pastor's fault.","or,","again,"
2586,that can produce some pretty desperate behavior (which is where i got my pigeon image).,"the situation of war, i was willing to suspend disbelief.",because of that,and
332,More than I miss having earrings in the one extra hole in one ear and three extra holes in the other (to include one in the cartilage).,it's remarkable if i actually think to put in one pair of earrings.,"now,","though,"
4434,In economists speak it lowers your lifetime utility.,when investment is too low the return from even a little investment can be very attractive.,on the other hand,"however,"
337,The 1-page US ad was focusing mostly on Korg's Professional Laboratory Systems (PLS) line of synthesizers.,the actual models of these synthesizers - the 3300 and 3100 (and possibly the 3200) - are not mentioned directly.,"although,","interestingly,"
