id,sentence1,sentence2,dm1,dm2
0,"This procedure may be used in any internal, preferably soft, tissue, but is most useful in breast tissue, lung tissue, prostate tissue, lymph gland tissue, etc.",treatment and diagnosis of breast tissue problems forms the central theme of the invention.,"obviously,","though,"
19,"But don't think too much about that as yet, because it's apparently another vaps idea still in development.","the pm's bill is a miniscule aspect of constitutional reform, tailored to suit narrow unc interest.","in sum,","however,"
20,"His original Troquet is much-loved, though rumor has it he's sold the mothership in order to focus on a new project.","he's still running the convivial, no-reservations offshoot, la cantine du troquet.","in the meantime,","though,"
38,"Not all nutritionists are thrilled, especially if hummus contains canola or soybean oil, the use of which critics say is more about reducing costs than offering nutrition.",you could do much worse than a bowl of mashed chickpeas.,"in sum,","however,"
42,"Since public prison guards are also private individuals until they sign an employment contract, why is one contract better than another?","perhaps all this has now established a duty of independent moral judgment for everyone, including public employees, thus making public punishment equally a ""private act""?","or,",conversely
43,"So the maids went out, carrying a torch, and made the beds, to which a man-servant presently conducted the strangers.","did telemachus and pisistratus sleep there in the forecourt, while the son of atreus lay in an inner room with lovely helen by his side.","thus,","then,"
48,"As the chapter continues, we are introduced to early Protestant opposition to Socinianism, provoked by its challenges to core aspects of Reformed belief.","there were those who adopted socinus' doctrines as it spread across europe, particularly to germany and the united provinces.",on the other hand,"however,"
50,"And turntables and tape loops can be more concretely evocative than most other instruments, since they offer a direct path to other songs.",stelzer and talbot have no interest in using their instruments that way.,"clearly,","however,"
52,"The highlights can sometimes be missed between more grating moments, and this leads to the blemishes on this otherwise enjoyable record becoming a little more exasperating.","parallax is quite consistent, and its peaks tend to outweigh the troughs.","overall,","though,"
56,"The Hyaks outscored the Pirates, 30-28, in the final two quarters.",the outcome was all but assured.,by then,"however,"
61,"Jeff has everyone fill in the blank, ""the most annoying thing about ____ is ____.""","it didn't change anyone's vote, it gave us a foreshadowing of things to come, and a peek at how self-aware certain tribe members (edna!)","although,","in the end,"
69,"In a compact between the two states, approved by U.S. Congress in 1834, New Jersey therefore agreed that New York would continue to have exclusive jurisdiction over the island.","the federal government expanded the island by landfill, so that it could accommodate the immigration station that opened in 1890 (and closed in november 1954).","thereafter,","however,"
75,"If you had to compress your argument into one abstract-type paragraph, what would it look like?","perhaps you'd want to frame your argument (s) as testable hypotheses - e.g., h1, etc.","third,","similarly,"
100,"In fact, when a senior subordinate joined us, there was a revelation-that America was supplying Stinger missiles to the Mujahedeen-on which I should have jumped.",i was disoriented.,by then,"however,"
101,"The plan is very much worth it, you get tons of food at every meal.","let's be honest, without that, most people wouldn't spend that much at disney.",because of that,and
103,"Hey, how big a deal can criminal defense be?",he wants to try cases.,and,"besides,"
108,"Finally, the tree has nothing left to give.","the boy is older, and needs little, just a place to sit and rest.",by then,"though,"
109,"Otherwise, It's always caught up by what was done by others in the past.","it values speed and, above all, loss of memory.","on the contrary,",therefore
111,You remember those?,that's what we got out of it.,"in the end,","then,"
113,"Almost 100% of liberals liked it, while over 90% of conservatives didn't.",a higher percentage of conservatives said they liked it than liberals who said they didn't.,"though,","interestingly,"
114,Pope Benedict has said that the most effective case for Christianity comes through the lives of the saints and Christian art.,"we need to recall anew that beauty is not incidental, but essential, to the life and mission of the church.","clearly,","then,"
120,And my administration is in ongoing discussions with a number of other countries about the transfer of detainees to their soil for detention and rehabilitation.,there remains the question of detainees at guantanamo who cannot be prosecuted yet who pose a clear danger to the american people.,"now,","finally,"
121,Here the power of the law stops.,we have no coronation oath.,"thus,","again,"
128,"The higher you scored in any category, the more your tastes were like mine in that category.","the categories theselves can be ranked in importance: eyes, mout...read more","also,","ultimately,"
130,"And from there, many of the other Facebook departments can do a better good job at integrating longitudinal data into their business processes.",facebook's feedback panel is a good first step in reversing possibly damaging user fatigue.,"overall,","however,"
132,"Overall, bifidobacterial numbers were reduced in the elderly where two of four subjects had no detectable bifidobacteria, and one had low counts of Bif angulatum (log 10 7.5 g/faeces).",the remaining subject in this group had very high numbers of these organisms in faeces (bif angulatum 9.8; bif adolescentis 9.6; bif longum 9.2).,"in contrast,","however,"
136,"In his hazy immobilized state, the player sees an LCVP engulfed in flames with partially burning soldiers fleeing from it.","it's something that made this troper go ""holy shit"", a burning soldier walks calmly out of the ship and down the ramp, collapses to his knees, and falls down.","then,",and
137,barack obama's presidency has become a feast of failures whose proliferation protects their author from close scrutiny of any one of them.,we can revisit one of the first and see it as a harbinger of progressivism's downward stumble to healthcare.gov.,"now,","however,"
139,Why doesn't Operation Odd or Even activate in this situation?,"most counter-intuitive: when a monster with the elemental ability wins combat under the effects of hand to hand, elemental still activates if the winner has the dominant element.","third,",and
141,"I had too much work-related writing to do--who has time to throw a few words up online for, you know, just fun?",i started hungering for something else.,"eventually,","however,"
152,"If everything had gone according to plan, we'd be in Stage Twenty already.",this is mostly my fault for barely replying my entire last semester and not moving things along during the semester before that.,"obviously,",and
154,Stephanie and Alana sat on the.,victoria and marcia took the third.,"second,",and
157,"In another embodiment, the registration data relates to a new transaction card account for the consumer.","the consumer is ordering a contactless transaction card, the consumer is also requesting a new transaction card account with the payment server system.",in other words,at the same time
161,"This is, probably, in chief part due to the broken nature of the land, affording diversified habitats, and to much of the coast being rocky.","i believe, it is that not many species have been brought from india.","hence,","also,"
167,"They also had an orange one and a pearlized gold dragon, both holding blue d20s.",i had to go with this one: a black mica dragon with a red scarab d20.,"ultimately,","though,"
178,"His parsnip- and prosciutto-stuffed quail over wild greens delighted and surprised judges, who were expecting something Mexican from the Mexican master.","it was the quiet, methodical and mind-blowingly creative lo who beat out bayless by half a star.","ultimately,","though,"
179,"I'd like to tell you I'm not the kind of gal who has ordered a fried Twinkie after a particularly rough gig, but I'd be lying.",why not celebrate the glorious resilience of hostess brands?,and,"anyway,"
181,"denunciations of the movement almost exclusively reference one of the two possible meanings of more's titular neologism, never the good place, eu-topia, but always the unviable no place, ou-topia.",they hinge on the undesirable failings of the society overviewed in book two.,"or,",alternatively
182,"That was, after all, an important theme in the recent proposal for the Malaysian-Australian OPV.","medium means limited resources, which have to be spent carefully.","in the end,","though,"
187,You're all very kind and supportive.,i feel an unsolicted yet 'keeping it clear' integrity need to reiterate i never claim to have this thing licked.,because of that,"though,"
188,"with camacho in charge, who knows?","it's all up to adu, who has handled all the hype and criticism aimed at him with notable aplomb.","ultimately,","though,"
194,I had never of Y.M.H.A.,hoped that it stood for 'young mens heathan association'.,"though,",and
195,"You might, several people got to go to them (Bar the OSM event, it was japan only).",several people did not.,conversely,"however,"
198,"You know, it's funny, you kill 1 or 2 hundred people, and suddenly you're the bad guy.",the legacy of charlie and his gang's brutal slaughters and other street crimes will always be remembered for what they were: not very nice.,"still,","though,"
203,"""It is nonetheless important to appreciate that although it is difficult to study these phenomena, this does not mean that they are not important and certainly that they do not exist.""",owners will have to wait.,"in the meantime,","however,"
206,The parts of happstack should be further modularized and generalized until they are not happstack specific.,there is a need for some glue code to bring all the pieces back together.,"ultimately,","though,"
210,"i wanted to give it to one of the political depth charges i read this year - bacevich's the limits of power, sharlet's the family, chalmers johnson's nemesis.",they all padded their word counts with exhaustive details that showed the depth of their research but sacrificed the grace of their story.,"ultimately,","however,"
217,"Rather, both zone1 and zone2 appeared to be at increased risk for symptoms.","headaches, chronic fatigue, allergies, and skin disorders were all more common in the 2 first zones as compared to zone3.","interestingly,","however,"
231,"That is wholly contrary to clause 2 and also to the wishes of the Secretary of State that, irrespective of statutory requirements, consultation should be undertaken on all closures wherever practicable.","established procedures-presumably set up to avoid the position in which we now find ourselves, with all the ill feeling that it generates-have been flagrantly ignored.","clearly,",therefore
236,"This indicates not only a lack of homophobia, but a widespread assumption that anyone is willing to sleep with someone of the same sex.","caligulans are not all gay, as many are seen in heterosexual relationships.","clearly,","though,"
259,"In 1977, when Daood was attending a military high school in Pakistan, Alice took her son back to the U.S. to live in Philadelphia.",the teenaged daood was deeply immersed in pakistani politics and especially in islam.,by then,"however,"
267,"From the games, I got the impression that there is only one of each Legendary.",that they can easily hold their own in battle and cannot be owned by trainers.,"meaning,",consequently
269,Top journals repeatedly rejected articles that later on turned out to be scientific breakthroughs and even won the Nobel Prize.,"plagiarism, fraud and deception are hardly ever discovered in the peer review process (fröhlich 2007).",conversely,"however,"
272,"The Government has been curiously silent on the matter of co-operative approaches lately, engaged as it is on the ludicrous and hopeless task of trying to keep a dying system afloat.",we all need to disengage from any dealings with shareholder-owned companies and switch to co-ops.,"clearly,","then,"
281,"the applications and pacs software are preferably stored in memory 21, as noted above.",applications may be stored on a floppy disk in disk drive 19 or a cd-rom in cd-rom drive 20.,alternatively,"however,"
286,"ty tashiro, discovery network's relationship expert and university of maryland professor, may not be a genie in a bottle - but he's here to grant you three wishes.",he wants to make sure you don't squander the three wishes you already have available to you.,"or,","rather,"
294,"Also, since there is one more level with which to play around, the base attack bonus could potentially be one point higher.","the level must be in a prestige class or rogue, otherwise there's an xp penalty applied.","regardless,","though,"
