id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
1913,but,"then,","Diversity is good, so we should approve of homosexuality.",why shouldn't we approve of bestiality as well?,,
350,and,instead,Western Union Corp. took steps to withdraw its proposed debt swap for $500 million in high-interest notes,said it is looking at other alternatives for refinancing the debt.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
2714,"or,",alternatively,"It can be assumed that the hat is made out of a light, but very powerful material, and acts as a skull-replacement of sorts.","edd is so weak in the series because all his strength goes to""holding up"" this hat.",,
2703,"in the meantime,","however,","Likewise, an access point can also deploy a dual 802.11a/b solution, enabling interoperability with end user devices equipped with either an 802.11a or 802.11b radio.",you can still install 802.11a wireless lans.,,
349,and,as a result,In that time more than 1.2 million jobs have been created,the official jobless rate has been pushed below 17% from 21%.,Expansion.Conjunction,Contingency.Cause.Result
1995,"although,","however,",On the following month the next verse (to other Gods of another month) was repeated in like manner.,they are slayers of the ugha and of one another also.,,
2615,"eventually,","however,",This system gave us half a century of relative financial stability.,the lessons of history were forgotten.,,
1778,additionally,and,"For a moment, let us assume that markets are manipulated, controlled, maneuvered, and influenced.","supporting this thought, few serious investors doubt that entities as plunge protection teams et al exist.",,
2697,"later,","however,",By that time and before the aggression against Poland the British government had not finally lost hope to find a political and peaceful solution to the then circumstances in Europe.,london saw no other alternative but war.,,
2863,"luckily,","though,",TurboGears applications can't be hosted with every web hosting company.,there are many good choices to choose from.,,
657,and,as a result,"The judge said that if the FBI's proposed schedule was followed in releasing the documents, ""a delay of over one year will have occurred","plaintiff will have served approximately two-thirds of his 3 1/2-year minimum sentence by the time he receives the files.""",Expansion.Conjunction,Contingency.Cause.Result
2029,and,furthermore,I am just more open to the possibility that the other 99.9999% will contain supernatural.,"what is more supernatural to you, a thing always existing or having a beginning?",,
1720,"though,",and,I had never of Y.M.H.A.,hoped that it stood for 'young mens heathan association'.,,
1413,and,then,"He said the Chaos Computer Club, of West Germany, once managed to invade SPAN","do such things as change the value of pi, messing up some calculations.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
