sentence1,sentence2,dm1,dm2
"There's already a mode where you can play as the Zombie horde instead of the plants, and the trailer really has me excited for more announcements.","someone could invent a time machine, travel forward and bring me a copy that would be awesome!",alternatively,if
"the i/p converter is often located at an industrial site where the surrounding air may be contaminated with oil, dissolved minerals, grit, and the like.","such air is used as the control fluid, the contaminants may partially or completely plug the primary orifice or nozzle.",consequently,when
The latter are transferred into the switching device 137.,"in synchronization, the parts of the device attributed to the x and y calculations have calculated the corresponding addresses x and y.",simultaneously,and
That seems to be the journey Shane is on.,"other cast members point out, you don't have to be part of a group to have faith.",alternatively,as
Humans who can appreciate the value of fish beyond their role as entrées are clearly more evolved than I.,"i hadn't promised my editor a column by tomorrow, i would not make this admission in public.",and,if
Think before you criticize.,"i or a classmate make a comment you are uncomfortable with, please contact me immediately and first.",additionally,if
The build process depends on these packages being present.,"this is a ""machine essential"" variable, the list of packages are essential for the machine to boot.",furthermore,because
Inflammatory processes have been shown to promote disease progression in OA [8].,al nonsteroidal anti-inflammatory drugs (nsaids) have become integral to the management of oa [9 - 12].,consequently,or
We know voices magnified by power can produce crowds.,n't what we need.,but,that is
"When air flow occurs past the sensor 36 in the direction of arrow 34, the first signal U is reduced by the air flow, while the second signal D is increased.","air flow past the sensor 36 occurs in the direction opposite arrow 34, the first signal u is increased while the second signal d is decreased.",conversely,when
"In this section, when the document is converted into XHTML, the blockquote sections will be used as expected, and the epigraph will be ignored since it is inside a comment.","processed into latex, the raw html will be ignored, and the comment will be processed as raw latex.",conversely,when
"On the face of it, their claim appears to hold water.","you calculate the force of the sun's gravity on the moon, you find it's more than twice the force of earth's gravity on the moon!",moreover,if
"Concomitantly, urinary excretion of the generated anions will occur, the magnitude of which depends on the interplay between their increased quan- tity in the filtrate and their tubular reabsorption.","the rates of proton exit from the extra- cellular fluid is greater than that of anions, causing the ratio of?",alternatively,if
"The additional adjudicatory burden on the INS, as mentioned above, is unnecessary according to the plain language of the statute and the legislative history.","a practical matter, the ins simply lacks the resources to make two separate adjudications on each h-1b petition.",moreover,as
"If the tonearm has a downward slope, then the tonearm must be lowered at the pivot point.","the tonearm has an upward slope, it must be raised at the pivot point.",conversely,if
You can't escape it when charging and it repeats along with the light flash.,the case with this item.,and,that is
If that's true are there not likeminded people with skills like Wess willing to do the Lord's work for just what they need?,the people at compassion will only work for equivalent salaries they can get in the world aren't their motives and trust misplaced?,conversely,if
"Western North Carolina, where the sauce of choice is typically a tomato based, so I had that in two forms - normal and spicy.","i am from the piedmont of north carolina, my favorite is.",additionally,since
This Rotary Dolphin watch enables you to do just that.,"it is part of their dolphin range, you could just as easily wear it with your bikini and swim in it all day.",furthermore,because
"72, Social Welfare Department dated 1st February 1980 revoked their orders and the position as it stood prior to 2nd July 1979 was restored.",another g.o.,simultaneously,by
"Of course, that privilege is not always one you would want, and it comes with real consequences with respect to your grade point.","it is not fair that the guinea pig pays, you have to work beyond that negative feeling and think about positive change.",therefore,even though
"The comment about features seems to be a key consideration: What functionality do you need for which network component, and what is the competitive price for that functionality?","you're not considering, or at least price shopping alternative vendors, you're probably overpaying.",therefore,if
"Optionally, the other platform comprises a catch of the at least one elastic catch.",additionally a notch of the at least one notch is formed in the other platform.,alternatively,or
