File Number,Explicit Connective,Implicit Connective,Arg1 Complete,Arg2 Complete,Explicit Sense1,Implicit Sense1
wsj_1870,and,thus,"As onlookers stand behind barricades, helmeted firemen and building inspectors survey rows of nearby buildings that were twisted from their foundations",seem on the verge of collapse.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0764,and,as a result,"Luxurious homes and ranches have been raided by the military authorities,",sophisticated and powerful communications equipment have been seized.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1916,and,so,"But only bridges supported with single rows of columns were top priority,","the Nimitz Freeway, supported by double rows, was left out, Mr. Drago explained.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0286,and,so,"""We are still only half way through the turnaround of this company,","there are many more things to do,"" President Kume says.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0118,and,so,"Many arbs are ""overleveraged,"" she says,","they ""have to sell when things look like they fall apart.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_1120,and,as a result,"Whereas most men were a bit ambivalent about the sex scandals (though they were furious about Recruit), women were upset about both",surged to the polls.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0765,and,then,"Mr. Sutton recalls: ""When I left, I sat down with Charlie {Rangel}, Basil {Paterson} and David,","David said, 'Who will run for borough president? ' And I said, 'You will. '""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1490,and,therefore,"Investment bankers following UAL agree that the strongest impetus for an eventual deal is that the pilots have been attempting a buy-out for more than two years,","aren't likely to stop, having come so close to success.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1128,and,therefore,"But freshness counts more than it once did,","stores are expanding shelf space for unconventional, but tastier, and often pricier, apples.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0209,and,as a result,"In China, a great number of workers are engaged in pulling out the male organs of rice plants using tweezers,",one-third of rice produced in that country is grown from hybrid seeds.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1875,and,instead,"Early in 1987, Mr. Honecker and his team stopped paying thin compliments to Mr. Gorbachev",joined with Romania in rejecting any necessity for adjustments in their systems.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_1875,and,thus,"Mr. Honecker spoke of ""generally valid objective laws of socialism""",left no room for debate.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0037,and,as a result,"All of this must have been enormously frustrating to Mr. Katzenstein, who went to Sony with degrees in business and computer science",was raring to invent another Walkman.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0578,and,then,"Mr. Guber says he had crossed out ""MGM"" with a red pen","written in ""Columbia,"" giving the document to Mr. Semel.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2100,and,consequently,"Profit from the calls goes to charity, but ABC Sports also uses the calls as a sales tool: After thanking callers for voting, Frank Gifford offers a football videotape for $19.95,",5% of callers stay on the line to order it.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0354,and,therefore,"In the August proxy material, Avery said that unless it sold Uniroyal, its ability to service debt would be hurt","Avery's shareholder value would ""continue to erode.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_1915,and,as a result,"CHARLES SCHWAB & CO., San Francisco, discount brokerage firm, annual sales of $392 million, had only minor damage to headquarters building",was up and running for yesterday's market open.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0598,and,thereby,They claimed that the Fed would first give a green light to the economy by making credit readily available and then turn on the red,bring growth to a screeching halt.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
wsj_2337,and,on the other hand,"Newspaper publishers are reporting mixed third-quarter results, aided by favorable newsprint prices","hampered by flat or declining advertising linage, especially in the Northeast.",Expansion.Conjunction,Comparison.Contrast
wsj_1373,and,then,"Motorola appears to have taken a Hitachi technology that is patented in the U.S., Hitachi says,","""tried to make it look like a new technology.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0043,and,then,"In electronics, for example, a Japanese company might make television picture tubes in Japan, assemble the sets in Malaysia",export them to Indonesia.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1057,and,then,"Five months later, Mr. Tisch took over as CBS's chief executive, and soon he was wielding sole approval each time Mr. Pilson scribbled a frighteningly large figure on a slip of paper, sealed it in an envelope",gave it to sports negotiators.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2161,and,so,"Last month, the complaints intensified",the massages ended.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0283,and,then,"The ""anti-hooligan"" law, which would deprive troublemakers of cards, must be ratified by the House of Lords",is expected to become effective early next year.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0931,and,therefore,"So far, the victims are officially considered evil-doers,",their families receive no compensation.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0439,but,instead,"These would not function independently,","would act together to form ""combines, unions and associations"" to tackle problems and coordinate their activities.",Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
wsj_1569,and,then,Stick some money in an interest-bearing account,watch it grow.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2169,and,so,"""Nothing traded on Friday,","people weren't really sure where the market should have opened"" yesterday, said Raymond Minella, co-head of merchant banking at Merrill Lynch & Co.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1421,and,so,"The ministry inquired about that deal -- which Mr. Utsumi declined to identify -- because the large presence of Japanese banks in the deal was ""being strongly criticized in the U.S. Congress""","it was ""necessary for us to grasp the situation.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_0450,and,then,Then they took the art to Acapulco,began to trade some of it for cocaine.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0155,and,yet,"""It's the type of nervous atmosphere in which a report can be put out, such as the one saying exports will be suspended,","no one can confirm it.""",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_0472,and,as a result,Before the union rejected the company's offer,"the strike was launched with the graveyard shift of Oct. 4, Boeing had been counting on turning 96 aircraft out the door in the present period.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0096,and,instead,Mr. Whelen denied the firm had sold securities at unfair prices,suggested that the examination practices of the NASD need improvement.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_0051,and,then,"In both cases, NEC lost the contract to Fujitsu, which made the same bid",won a tie-breaking lottery.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0681,and,as a result,"""Stocks aren't cheap anymore, there have been some judicial and legislative changes in the merger area","all of this changes the arithmetic of deals,"" she says.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0173,and,as a result,"But as the craze died, Coleco failed to come up with another winner",filed for bankruptcy-law protection in July 1988.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1442,and,as a result,"Furthermore, the regulatory maneuvering behind First Interstate's loss suggests regulators have concluded that lenders' reserves are far too low to absorb their future Arizona losses",are forcing bankers to do something about it.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1667,then,and,"The procedure involves encasing the concrete columns with steel,",connecting them more securely to the double-decker roadbed.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
wsj_1450,and,then,"It gave 1,124 businesses a questionnaire",analyzed 353 responses.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1986,and,then,"The young John Gutfreund had been discovered by Billy Salomon of Salomon Bros. when he was still a bearded liberal,","put to work as a trader, and then as a rough-and-tumble syndicator.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0725,and,then,Santa Fe aims to drill about 30 wells in this area in 1989,double that next year.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0210,and,thus,"Both sides are jealously guarding their turf,",relations have been at a flashpoint for months.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1203,and,in particular,"Yesterday, for example, ""the durable goods numbers came out for September","the number was down only 0.1%,"" she said.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0818,and,therefore,"But the costly efforts did little to slow Japanese market gains,",domestic car sales have plunged 19% since the Big Three ended many of their programs Sept. 30.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2444,and,in particular,"The vacancy rate soared more than 20% in nearly every product category,",more than 30% of office space was vacant.,Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
wsj_0764,and,as a result,"Our coffee growers face reductions in their income,",this tempts them to contemplate substituting coca crops for coffee.,Expansion.Conjunction,Contingency.Cause.Result
