id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
0,and,then,"The Lorillard spokeswoman said asbestos was used in ""very modest amounts"" in making paper for the filters in the early 1950s",replaced with a different type of filter in 1956.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1,and,as a result,More common chrysotile fibers are curly,"are more easily rejected by the body, Dr. Mossman explained.",Expansion.Conjunction,Contingency.Cause.Result
2,and,then,"Workers dumped large burlap sacks of the imported material into a huge bin, poured in cotton and acetate fibers",mechanically mixed the dry fibers in a process used to make filters.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
3,and,then,"The magazine will reward with ""page bonuses"" advertisers who in 1990 meet or exceed their 1989 spending, as long as they spent $325,000 in 1989","$340,000 in 1990.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
4,and,yet,"John Rowe, president and chief executive officer of New England Electric, said the company's return on equity could suffer if it made a higher bid",its forecasts related to PS of New Hampshire -- such as growth in electricity demand and improved operating efficiencies -- didn't come true.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
5,and,as such,The refund was about $55 million more than previously ordered by the Illinois Commerce Commission,trade groups said it may be the largest ever required of a state or local utility.,Expansion.Conjunction,Contingency.Cause.Result
6,and,as a result,But state courts upheld a challenge by consumer groups to the commission's rate increase,found the rates illegal.,Expansion.Conjunction,Contingency.Cause.Result
7,and,then,The Illinois Supreme Court ordered the commission to audit Commonwealth Edison's construction expenses,refund any unreasonable expenses.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
8,and,therefore,"In August, the commission ruled that between $190 million and $195 million of the plant's construction cost was unreasonable","should be refunded, plus interest.",Expansion.Conjunction,Contingency.Cause.Result
9,and,as a result,"""The theory is that Seymour is the chief designer of the Cray-3,",without him it could not be completed.,Expansion.Conjunction,Contingency.Cause.Result
10,and,then,"Saudi Arabia, for its part, has vowed to enact a copyright law compatible with international standards","to apply the law to computer software as well as to literary works, Mrs. Hills said.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
11,and,as a result,"William Gates and Paul Allen in 1975 developed an early language-housekeeper system for PCs,",Gates became an industry billionaire six years after IBM adapted one of these versions in 1981.,Expansion.Conjunction,Contingency.Cause.Result
12,and,as part of that,Financial planners often urge investors to diversify,to hold a smattering of international securities.,Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
13,without,but,That way investors can essentially buy the funds,paying the premium.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
14,and,then,The branch of the Bank for Foreign Economic Affairs was approved last spring,opened in July.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
15,without,but,A soft landing is an economic slowdown that eases inflation,leading to a recession.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
16,and,in contrast,"It found that of the 73% who import, 10% said they imported more in October",12% said they imported less than the previous month.,Expansion.Conjunction,Comparison.Contrast
17,and,as a result,"Despite the enormous sums of money they're paid to stand up at a Japanese plate, a good number decide it's not worth it",run for home.,Expansion.Conjunction,Contingency.Cause.Result
18,and,as a result,"All of this must have been enormously frustrating to Mr. Katzenstein, who went to Sony with degrees in business and computer science",was raring to invent another Walkman.,Expansion.Conjunction,Contingency.Cause.Result
19,and,namely,But Sony ultimately took a lesson from the American management books,"fired Mr. Katzenstein, after he committed the social crime of making an appointment to see the venerable Akio Morita, founder of Sony.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
