"File Number","Explicit Connective","Arg1 Complete","Arg2 Complete","Explicit Sense1","Explicit Sense2"
"wsj_0003","once","The asbestos fiber, crocidolite, is unusually resilient","it enters the lungs, with even brief exposures to it causing symptoms that show up decades later, researchers said.","Temporal.Asynchronous.Succession",""
"wsj_0003","with","The asbestos fiber, crocidolite, is unusually resilient once it enters the lungs,","even brief exposures to it causing symptoms that show up decades later, researchers said.","Contingency.Cause+Belief.Reason+Belief","Expansion.Level-of-detail.Arg2-as-detail"
"wsj_0003","even though","Workers described ""clouds of blue dust"" that hung over parts of the factory,","exhaust fans ventilated the area.","Comparison.Concession.Arg1-as-denier",""
"wsj_0007","and","It employs 2,700 people","has annual revenue of about $370 million.","Expansion.Conjunction",""
"wsj_0008","because","The federal government suspended sales of U.S. savings bonds","Congress hasn't lifted the ceiling on government debt.","Contingency.Cause.Reason",""
"wsj_0008","but","The House has voted to raise the ceiling to $3.1 trillion,","the Senate isn't expected to act until next week at the earliest.","Comparison.Contrast",""
"wsj_0008","if","The Treasury said the U.S. will default on Nov. 9","Congress doesn't act by then.","Contingency.Condition.Arg2-as-cond",""
"wsj_0010","so","The governor couldn't make it,","the lieutenant governor welcomed the special guests.","Contingency.Cause.Result",""
"wsj_0010","before","Back downtown, the execs squeezed in a few meetings at the hotel","boarding the buses again.","Temporal.Asynchronous.Precedence",""
"wsj_0010","when","Knowing a tasty -- and free -- meal","they eat one, the executives gave the chefs a standing ovation.","Temporal.Synchronous",""
"wsj_0011","while","Exports in October stood at $5.29 billion, a mere 0.7% increase from a year earlier,","imports increased sharply to $5.39 billion, up 20% from last October.","Comparison.Contrast",""
"wsj_0012","and","Newsweek, trying to keep pace with rival Time magazine, announced new advertising rates for 1990","said it will introduce a new incentive plan for advertisers.","Expansion.Conjunction",""
"wsj_0012","and","Plans that give advertisers discounts for maintaining or increasing ad spending have become permanent fixtures at the news weeklies","underscore the fierce competition between Newsweek, Time Warner Inc. 's Time magazine, and Mortimer B. Zuckerman's U.S. News & World Report.","Expansion.Conjunction",""
"wsj_0012","while","In mid-October, Time magazine lowered its guaranteed circulation rate base for 1990","not increasing ad page rates; with a lower circulation base, Time's ad rate will be effectively 7.5% higher per subscriber; a full page in Time costs about $120,000.","Temporal.Synchronous","Comparison.Contrast"
"wsj_0012","as long as","The magazine will reward with ""page bonuses"" advertisers who in 1990 meet or exceed their 1989 spending,","they spent $325,000 in 1989 and $340,000 in 1990.","Contingency.Condition.Arg2-as-cond",""
"wsj_0012","and","""What matters is what advertisers are paying per page,","in that department we are doing fine this fall,"" said Mr. Spoon.","Expansion.Conjunction",""
"wsj_0013","and","New England Electric System bowed out of the bidding for Public Service Co. of New Hampshire, saying that the risks were too high","the potential payoff too far in the future to justify a higher offer.","Expansion.Conjunction",""
"wsj_0013","and","United Illuminating is based in New Haven, Conn.,","Northeast is based in Hartford, Conn.","Expansion.Conjunction",""
"wsj_0013","if","John Rowe, president and chief executive officer of New England Electric, said the company's return on equity could suffer","it made a higher bid and its forecasts related to PS of New Hampshire -- such as growth in electricity demand and improved operating efficiencies -- didn't come true.","Contingency.Condition.Arg2-as-cond",""
"wsj_0013","and","""When we evaluated raising our bid, the risks seemed substantial and persistent over the next five years,","the rewards seemed a long way out.","Expansion.Conjunction",""
"wsj_0013","and","Northeast said it would refile its request","still hopes for an expedited review by the FERC so that it could complete the purchase by next summer if its bid is the one approved by the bankruptcy court.","Expansion.Conjunction",""
"wsj_0013","so that","Northeast said it would refile its request and still hopes for an expedited review by the FERC","it could complete the purchase by next summer if its bid is the one approved by the bankruptcy court.","Contingency.Cause.Result",""
"wsj_0013","if","Northeast said it would refile its request and still hopes for an expedited review by the FERC so that it could complete the purchase by next summer","its bid is the one approved by the bankruptcy court.","Contingency.Condition.Arg2-as-cond",""
"wsj_0015","and","Judge Curry ordered the refunds to begin Feb. 1","said that he wouldn't entertain any appeals or other attempts to block his order by Commonwealth Edison.","Expansion.Conjunction",""
"wsj_0015","and","Commonwealth Edison said it is already appealing the underlying commission order","is considering appealing Judge Curry's order.","Expansion.Conjunction",""
"wsj_0018","if","Documents filed with the Securities and Exchange Commission on the pending spinoff disclosed that Cray Research Inc. will withdraw the almost $100 million in financing it is providing the new firm","Mr. Cray leaves or if the product-design project he heads is scrapped.","Contingency.Condition.Arg2-as-cond",""
"wsj_0018","or","Documents filed with the Securities and Exchange Commission on the pending spinoff disclosed that Cray Research Inc. will withdraw the almost $100 million in financing it is providing the new firm if Mr. Cray leaves","if the product-design project he heads is scrapped.","Expansion.Disjunction",""
"wsj_0018","though","Moreover, there have been no orders for the Cray-3 so far,","the company says it is talking with several prospects.","Comparison.Concession.Arg1-as-denier",""
"wsj_0018","when","While many of the risks were anticipated","Minneapolis-based Cray Research first announced the spinoff in May, the strings it attached to the financing hadn't been made public until yesterday.","Temporal.Synchronous",""
"wsj_0018","and","Cray Computer also will face intense competition, not only from Cray Research, which has about 60% of the world-wide supercomputer market","which is expected to roll out the C-90 machine, a direct competitor with the Cray-3, in 1991.","Expansion.Conjunction",""
"wsj_0020","for","The U.S., claiming some success in its trade diplomacy, removed South Korea, Taiwan and Saudi Arabia from a list of countries it is closely watching","allegedly failing to honor U.S. patents, copyrights and other intellectual-property rights.","Contingency.Cause.Reason",""
"wsj_0020","if","Under the new U.S. trade law, those countries could face accelerated unfair-trade investigations and stiff trade sanctions","they don't improve their protection of intellectual property by next spring.","Contingency.Condition.Arg2-as-cond",""
"wsj_0020","or","U.S. trade negotiators argue that countries with inadequate protections for intellectual-property rights could be hurting themselves by discouraging their own scientists and authors and by deterring U.S. high-technology firms from investing","marketing their best products there.","Expansion.Conjunction",""
"wsj_0020","by","Taiwan has improved its standing with the U.S.","initialing a bilateral copyright agreement, amending its trademark law and introducing legislation to protect foreign movie producers from unauthorized showings of their films.","Contingency.Cause.Reason","Expansion.Manner.Arg2-as-manner"
"wsj_0020","and","Taiwan has improved its standing with the U.S. by initialing a bilateral copyright agreement, amending its trademark law","introducing legislation to protect foreign movie producers from unauthorized showings of their films.","Expansion.Conjunction",""
"wsj_0020","for","That measure could compel Taipei's growing number of small video-viewing parlors to pay movie producers","showing their films.","Contingency.Purpose.Arg2-as-goal",""
"wsj_0020","but","Those countries -- including Japan, Italy, Canada, Greece and Spain -- are still of some concern to the U.S.","are deemed to pose less-serious problems for American patent and copyright owners than those on the ""priority"" list.","Expansion.Conjunction",""
"wsj_0020","although","She didn't elaborate,","earlier U.S. trade reports have complained of videocassette piracy in Malaysia and disregard for U.S. pharmaceutical patents in Turkey.","Comparison.Concession.Arg2-as-denier",""
"wsj_0022","and","Apple II owners, for example, had to use their television sets as screens","stored data on audiocassettes.","Expansion.Conjunction",""
"wsj_0022","and","But the new 1977 PCs -- unlike earlier built-from-kit types such as the Altair, Sol and IMSAI -- had keyboards","could store about two pages of data in their memories.","Expansion.Conjunction",""
"wsj_0022","and","Current PCs are more than 50 times faster","have memory capacity 500 times greater than their 1977 counterparts.","Expansion.Conjunction",""
"wsj_0022","after","William Gates and Paul Allen in 1975 developed an early language-housekeeper system for PCs, and Gates became an industry billionaire","IBM adapted one of these versions in 1981.","Temporal.Asynchronous.Succession",""
"wsj_0022","as","IBM, the world leader in computers, didn't offer its first PC until August 1981","many other companies entered the market.","Temporal.Synchronous",""
"wsj_0023","and","Faulding said it owns 33% of Moleculon's voting stock","has an agreement to acquire an additional 19%.","Expansion.Conjunction",""
"wsj_0024","until","Output will be gradually increased","it reaches about 11,000 barrels a day.","Temporal.Asynchronous.Precedence",""
"wsj_0024","and","The Perch and Dolphin fields are expected to start producing early next year,","the Seahorse and Tarwhine fields later next year.","Expansion.Conjunction",""
"wsj_0024","after","Esso said the fields were developed","the Australian government decided in 1987 to make the first 30 million barrels from new fields free of excise tax.","Temporal.Asynchronous.Succession",""
"wsj_0026","but","The White House said Mr. Bush decided to grant duty-free status for 18 categories,","turned down such treatment for other types of watches ""because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands.""","Comparison.Contrast",""
"wsj_0027","and","Magna International Inc. 's chief financial officer, James McAlpine, resigned","its chairman, Frank Stronach, is stepping in to help turn the automotive-parts manufacturer around, the company said.","Expansion.Conjunction",""
"wsj_0027","and","Mr. Stronach will direct an effort to reduce overhead","curb capital spending ""until a more satisfactory level of profit is achieved and maintained,"" Magna said.","Expansion.Conjunction",""
