,sentence1,sentence2,dm1,dm2
0,"More accurately, it was a humongous waste of space with no purpose except, perhaps, intimidation; it made visitors feel as if they'd wandered into somewhere they didn't belong.",the hotel's management took the storm damage as an opportunity to redesign.,"fortunately,","though,"
1,"In the initial 20 min (first meal), both peptides were equally effective, producing large reductions of food intake.","cck-33 was more effective than cck-8, producing much more sustained reductions.","thereafter,","however,"
2,"I know, I know, these are harsh words and hard to read; not at all uplifting.",is time for sobriety and seriousness.,"now,","however,"
3,Of course I have always been a member of some social media site ever since my cousin made me a MySpace when I was 13.,social media and its various uses have grown and transformed and morphed into useful business tools of the modern marketing era.,"although,",since then
4,One might see some glaring weaknesses in how the movement is pursuing what it is all about.,in its very spirit the movement must be about what is most important-what is undeniably essential.,"ultimately,","however,"
5,"Once the climate switch flipped, Earth veered from frigid snowball to steamy hothouse (possibly with average surface temperatures of 50 to 60 degrees Celsius) within centuries to millennia.","these ice ages, which were more extreme than any ever again experienced on earth, may literally reflect out-of-this-world conditions.","ultimately,","however,"
6,The terms of the option will lay down provisions for independent valuation in the event of disagreement.,eads' press release on the subject is at pains to point out that the put option has not been exercised yet: -.,"interestingly,","though,"
7,"They had a great game, you feel good about yourselves.","there's a lot of work ahead, you don't want them to be complacent.",but,at the same time
8,"Coming into the Vancouver games, the U.S. had never won an Olympic Nordic combined medal in 86 years of competition.",they've got two: first johnny spillane took silver in the individual normal hill/10km cross-country pursuit.,but,"now,"
9,"For such taxpayers, the focus should be on the practical, not on the theoretical or grand economics.","i cannot stress this enough, do not add to the irs's woes by creating a whole new tax system for them to administer without repealing an old tax regime.",additionally,and
10,-ton- of scripting that really made the work area come alive.,none of it worked due to a missing area file that.,"though,",but
11,"Which, of course took place despite the existence of Prism's carte blanche data schlup.",industry group the cloud security alliance last month warned that us companies are losing orders from foreigners alarmed about the nsa spooks ability to access their data and communications.,"separately,","meanwhile,"
12,"A bit ugly and definitely would require work,.",is should work.,"though,",but
13,"I mean, after I realized some of what he's done, more-so.","lizzie borden the axe murderer would be a great birthday buddy, i'm sure.","still,","though,"
14,This makes the entire image look a little out of focus.,most of the work is of a very high quality.,"overall,","though,"
15,That's part of Solo's legacy.,there will come a moment when solo has to protect the net from an opposing threat.,"eventually,","however,"
16,The methods of the invention can be effected using any of the various aforementioned embodiments.,"an apparatus of the invention can comprising a parallel infrared detection system for simultaneously analyzing at least two samples, such as solid samples or fluid samples.","hence,",for example
17,"it is fair to say that the workgroup agreed on some basic principles, such as the need for an orderly procedure.",the cde had to make a decision about the elements of a package to bring forward.,"ultimately,","though,"
18,"In this example, there's no reason to special case head_node.",for some reason this tends to pop up a lot.,"next,",but
19,"beyond any question, their persecutors had all passed off the stage of action, and according to the view under consideration were suffering all the torments of hell right before their eyes.","not satisfied with this, they cry to god as though he we delaying vengeance on their murderers.","yet,",as if
20,"I hemmed it with a stretch blind hem, rather than the recommended twin needle, and I think that it turned out quite well!",i'm really happy with it!,"overall,","though,"
21,"And I would have gladly taken entries from Final Fantasies 10-2 or 13-2 over the garbage that is anything from Final Fantasy 2, but maybe those games will get DLC tracks.",the game has been enjoyable and the good songs that are in the game are really fun to play.,"overall,","though,"
22,"but beyond clearly illegal acts, they also reserve the right to steer clear of any content they feel reflects poorly on their brands.","it is the courts that determine what is obscene, a term reserved in the legal system for sexually explicit content that meets certain criteria.","ultimately,","however,"
23,"""We'd been servicing Van Meter, because the line went right to the front gate,"" he said.",the city of miami was not included.,"previously,","however,"
24,And in yet another patches of bright red are found throughout the canvas and smaller areas of pink interrupt the silver field.,"this is a further option, a field of green on the left edge can be set alongside a body of narrow vertical silver strokes.","or,",and
25,"Before you knew it, Anna Faris was impersonating Diaz in Lost in Translation, and it was funnier than any actual Diaz performance in years.",the laziness of earlier performances has evaporated.,"now,","though,"
26,The real focus of the Bible is the story of humans and their response to God.,"it was normal human beings and their religious systems that crucified christ, not those who were demon possessed.",moreover,"in the end,"
27,"No, but expecting a band to live up to what's been written about it thus far is unrealistic.",the band's sunny songwriting and its willingness to write earnest music will take it further than the mere hyperbole heaped upon it will.,"ultimately,","though,"
28,"As is fairly common, whilst both spirits are born from the souls of lustful, rapacious mortals, the incubus is much more forthright and forceful about his desires.","succubi are seductresses, incubi are rapists.","or,",in other words
29,It's the famous Reagan appeal.,i hope i've disabused you of a few notions and convinced you of the following:.,"so,","in sum,"
30,"We found a difference in color usage between classical paintings and photographs, and a significantly low color variety of the medieval period.",the increment of roughness exponent as painting techniques such as chiaroscuro and sfumato have advanced is consistent with historical circumstances.,"interestingly,",moreover
31,Then the last verse seems to be about both political and religious hypocrisy:.,"religion can be manipulated in the name of political causes that, whether good or bad, are not innocent.","ultimately,","then,"
32,Too bad everyone is so busy being insulted and going all Anakin instead of Obi-Wan....,it will still be possible to write great and functional web apps that more-or-less behaves the same as many of the apps on the iphone.,"yet,",at the same time
33,"The French government even launched a 2011 program, 1001libraires, that would allow independent bookstores to distribute e-books themselves, though this program eventually failed.","there are relatively few french titles in the amazon france kindle store-around 100,000, as compared with 800,000 paper books.",but,"still,"
34,(That was true of Joe's quoted question.),the pocket version of the rule provides a litmus test.,"again,","however,"
